sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature ;deepest air temperature;média temperature;;;;;;;;;;;;;;;;;;;
76;Jama na Žutim kokom;Croatia;2.5.2008.;2008-05-02;1 juv;1;Dysderidae;Folkia;inermis;Folkia inermis;;42.712746;17.682621;Tb;deep cave;42.71274617.682621;3;;;;;;;;;;;;;;;;;;;;;;
77;Gali?njak;Croatia;2.5.2008.;2008-05-02;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;;42.720118;17.67071;tb;deep cave;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
78;Gali?njak;Croatia;2.5.2008.;2008-05-02;1 f;1;Leptonetidae;Sulcia;sp. 6;Sulcia sp. 6;;42.720118;17.67071;Tf;cave entrance;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
79;Gali?njak;Croatia;2.5.2008.;2008-05-02;2 m, 2 f, 1 juv;5;Leptonetidae;Sulcia;sp. 6;Sulcia sp. 6;;42.720118;17.67071;Tf;cave entrance;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
80;Gali?njak;Croatia;2.5.2008.;2008-05-02;1m, 1f, 1 juv;3;Leptonetidae;Sulcia;sp. 6;Sulcia sp. 6;;42.720118;17.67071;Tf;cave entrance;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
86;Gali?njak;Croatia;2.5.2008.;2008-05-02;2 m, 1 juv;3;Leptonetidae;Barusia;maheni;Barusia maheni;;42.720118;17.67071;tf;deep cave;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
87;Špilja kod Nerezinog dola;Croatia;27.4.2008.;2008-04-27;1 juv f;1;Leptonetidae;Barusia;maheni;Barusia maheni;;42.758378;17.436094;tf;deep cave;42.75837817.436094;6;;14,6;12,7875;;;;;;;;;;;;;;;;;;;
89;Movrica;Croatia;28.4.2008.;2008-04-28;1 f, 2 juv m;3;Leptonetidae;Sulcia;nocturna;Sulcia nocturna;;42.752604;17.551145;;deep cave;42.75260417.551145;6;12,6;;;;;;;;;;;;;;;;;;;;;
90;Male ponte;Croatia;27.4.2008.;2008-04-27;1 f;1;Linyphiidae;Palliduphantes;sp. 1;Palliduphantes sp. 1;;42.761389;17.430786;tf;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
96;Male ponte;Croatia;14.4.2007.;2007-04-14;1f, 1 juv;2;Leptonetidae;Sulcia;nocturna;Sulcia nocturna;;42.761389;17.430786;;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
98;Gali?njak;Croatia;10.4.2007.;2007-04-10;1 m;1;Leptonetidae;Barusia;maheni;Barusia maheni;;42.720118;17.67071;tf;deep cave;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
99;Ostaševica;Croatia;8.4.2007.;2007-04-08;1f, 1 juv;2;Leptonetidae;Sulcia;nocturna;Sulcia nocturna;220;42.748959;17.544404;;deep cave;42.74895917.544404;9;11,6;;;;;;;;;;;;;;;;;;;;;
100;Gali?njak;Croatia;14.4.2007.;2007-04-14;1 m;1;Leptonetidae;Barusia;maheni;Barusia maheni;;42.720118;17.67071;tf;deep cave;42.72011817.67071;11;12;;;;;;;;;;;;;;;;;;;;;
102;Male ponte;Croatia;9.4.2007.;2007-04-09;1 f;1;Leptonetidae;Barusia;maheni;Barusia maheni;;42.761389;17.430786;tf;deep cave;42.76138917.430786;7;;14;14,6;;;;;;;;;;;;;;;;;;;
