sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature ;deepest air temperature;média temperature;;;;;;;;;;;;;;;;;;;
505;Sušica ponor;Croatia;11.5.2009.;2009-05-11;2f;2;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;;45.3156;15.344255;tf;deep cave;45.315615.344255;2;;;;;;;;;;;;;;;;;;;;;;
506;Lipa na Protulipi;Croatia;24.5.2009.;2009-05-24;1m;1;Nesticidae;Nesticus;cellulanus;Nesticus cellulanus;135;45.406127;15.385848;tf;deep cave;45.40612715.385848;2;;;;;;;;;;;;;;;;;;;;;;
508;Vodena jama;Croatia;9.5.2009.;2009-05-09;1m;1;Hahniidae;Gen. 1;sp. 1;Gen. 1 sp. 1;;45.33849;15.326748;;;45.3384915.326748;2;;;;;;;;;;;;;;;;;;;;;;
510;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;1juv? Osušen;1;Dysderidae;Stalagtia;sp. 2;Stalagtia sp. 2;137;42.67716;18.136236;Tb;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
513;Vilinska špilja;Croatia;23.6.2009.;2009-06-23;1juv;1;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.797852;17.922663;Tb;deep cave;42.79785217.922663;2;;;;;;;;;;;;;;;;;;;;;;
514;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;4f, 4 juv;8;Leptonetidae;Sulcia;sp. 2;Sulcia sp. 2;137;42.67716;18.136236;Tb;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
515;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;1 juv;1;Agelenidae;Histopona;sp.;Histopona sp.;137;42.67716;18.136236;;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
516;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;1 juv;1;Dysderidae;Stalagtia;sp. 2;Stalagtia sp. 2;137;42.67716;18.136236;Tb;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
517;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;4f, 2m, 2 juv;8;Leptonetidae;Sulcia;sp. 2;Sulcia sp. 2;137;42.67716;18.136236;Tb;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
518;Vilina špilja-Izvor Omble;Croatia;22.6.2009.;2009-06-22;3 juv;3;Agelenidae;Histopona;sp.;Histopona sp.;137;42.67716;18.136236;;deep cave;42.6771618.136236;5;;;14,2;;;;;;;;;;;;;;;;;;;
519;Kukova pe?;Croatia;8.10.2009.;2009-10-08;2 juv;2;Agelenidae;Histopona;sp.;Histopona sp.;274;42.726992;17.96566;;deep cave;42.72699217.96566;5;;17;16,62;;;;;;;;;;;;;;;;;;;
520;Kukova pe?;Croatia;8.10.2009.;2009-10-08;1f, 1m;2;Linyphiidae;Agyneta;sp.;Agyneta sp.;;42.726992;17.96566;;;42.72699217.96566;5;;17;16,62;;;;;;;;;;;;;;;;;;;
521;Kukova pe?;Croatia;8.10.2009.;2009-10-08;1m, 4 juv/f;5;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.726992;17.96566;Tb;deep cave;42.72699217.96566;5;;17;16,62;;;;;;;;;;;;;;;;;;;
522;Špilja za Groma?kom vlakom;Croatia;6.9.2006.;2006-09-06;1juv m, 2 juv;3;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;605;42.743509;18.027359;Tb;deep cave;42.74350918.027359;15;;;13,63043478;;;;;;;;;;;;;;;;;;;
523;Špilja za Groma?kom vlakom;Croatia;6.9.2006.;2006-09-06;1 juv;1;Agelenidae;Histopona;sp.;Histopona sp.;605;42.743509;18.027359;;deep cave;42.74350918.027359;15;;;13,63043478;;;;;;;;;;;;;;;;;;;
524;Jama pod Sinji kuk;Croatia;10.10.2009.;2009-10-10;3m, 1f, 1 juv;5;Leptonetidae;Gen. 1;sp. 1;Gen. 1 sp. 1;295;42.709828;17.988632;Tb;deep cave;42.70982817.988632;5;16,2;;;;;;;;;;;;;;;;;;;;;
525;Jama pod Sinji kuk;Croatia;10.10.2009.;2009-10-10;1f;1;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.709828;17.988632;Tb;deep cave;42.70982817.988632;5;16,2;;;;;;;;;;;;;;;;;;;;;
526;Špilja na vrh Kr?evina;Croatia;9.10.2009.;2009-10-09;1 juv;1;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.717692;18.006249;Tb;deep cave;42.71769218.006249;2;;16,5;17,6;;;;;;;;;;;;;;;;;;;
527;Špilja ispod Krsta;Croatia;6.10.2009.;2009-10-06;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.677813;18.063701;;deep cave;42.67781318.063701;2;;;;;;;;;;;;;;;;;;;;;;
528;Špilja ispod Krsta;Croatia;6.10.2009.;2009-10-06;1 juv;1;Dysderidae;Stalagtia;sp. 2;Stalagtia sp. 2;;42.677813;18.063701;Tb;deep cave;42.67781318.063701;2;;;;;;;;;;;;;;;;;;;;;;
529;Špilja na vrh Kr?evina;Croatia;9.10.2009.;2009-10-09;1 juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.717692;18.006249;;deep cave;42.71769218.006249;2;;16,5;17,6;;;;;;;;;;;;;;;;;;;
530;Špilja na vrh Kr?evina;Croatia;9.10.2009.;2009-10-09;1f, 2juv;3;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.717692;18.006249;Tb;deep cave;42.71769218.006249;2;;16,5;17,6;;;;;;;;;;;;;;;;;;;
531;Vitkova?a jama;Croatia;25.6.2009.;2009-06-25;1 juv;1;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.752378;17.94736;Tb;deep cave;42.75237817.94736;1;;;;;;;;;;;;;;;;;;;;;;
533;Kukova pe?;Croatia;7.10.2009.;2009-10-07;1 juv;1;Agelenidae;Histopona;sp.;Histopona sp.;;42.726992;17.96566;;deep cave;42.72699217.96566;5;;17;16,62;;;;;;;;;;;;;;;;;;;
534;Kukova pe?;Croatia;7.10.2009.;2009-10-07;1f, 1juv m;2;Linyphiidae;Agyneta;sp.;Agyneta sp.;;42.726992;17.96566;;;42.72699217.96566;5;;17;16,62;;;;;;;;;;;;;;;;;;;
535;Pasja jama, Brse?ine;Croatia;7.10.2009.;2009-10-07;1?;;Orthognatha;Gen.;sp.;Gen. sp.;;42.731152;17.965877;;;42.73115217.965877;4;;;;;;;;;;;;;;;;;;;;;;
536;Pasja jama, Brse?ine;Croatia;7.10.2009.;2009-10-07;3 juv;3;Dysderidae;Stalagtia;hercegovinensis;Stalagtia hercegovinensis;;42.731152;17.965877;Tb;deep cave;42.73115217.965877;4;;;;;;;;;;;;;;;;;;;;;;
538;Pasja jama, Brse?ine;Croatia;7.10.2009.;2009-10-07;2f;2;Linyphiidae;Gen.;sp. X;Gen. sp. X;;42.731152;17.965877;;;42.73115217.965877;4;;;;;;;;;;;;;;;;;;;;;;
539;Pasja jama, Brse?ine;Croatia;7.10.2009.;2009-10-07;1 juv;1;Dysderidae;Dysdera;sp.;Dysdera sp.;;42.731152;17.965877;Tx;;42.73115217.965877;4;;;;;;;;;;;;;;;;;;;;;;
540;Zadiljke jama;Croatia;4.10.2009.;2009-10-04;1f;1;Linyphiidae;Troglohyphantes;hadzii;Troglohyphantes hadzii;;42.768482;17.96906;tf;deep cave;42.76848217.96906;1;;;;;;;;;;;;;;;;;;;;;;
542;Sumpora?a velika;Croatia;7.10.2009.;2009-10-07;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42.673168;18.089354;tf;deep cave;42.67316818.089354;5;;;;;;;;;;;;;;;;;;;;;;
543;Sumpora?a velika;Croatia;7.10.2009.;2009-10-07;1 juv;1;Pholcidae;Pholcus;sp.;Pholcus sp.;;42.673168;18.089354;;;42.67316818.089354;5;;;;;;;;;;;;;;;;;;;;;;
544;Jama na Zovi do;Croatia;4.10.2009.;2009-10-04;1 juv;1;Pholcidae;Pholcus;sp.;Pholcus sp.;;42.758221;17.97901;;;42.75822117.97901;3;;;;;;;;;;;;;;;;;;;;;;
545;Jama na Zovi do;Croatia;4.10.2009.;2009-10-04;1m, 3f, 2 juv;6;Linyphiidae;Troglohyphantes;hadzii;Troglohyphantes hadzii;;42.758221;17.97901;tf;deep cave;42.75822117.97901;3;;;;;;;;;;;;;;;;;;;;;;
546;Jama na Zovi do;Croatia;4.10.2009.;2009-10-04;2f, 1m;3;Linyphiidae;Gen.;sp. X;Gen. sp. X;;42.758221;17.97901;;;42.75822117.97901;3;;;;;;;;;;;;;;;;;;;;;;
547;Pasja jama, Brse?ine;Croatia;7.10.2009.;2009-10-07;1m;1;Linyphiidae;Asthenargus;bracianus;Asthenargus bracianus;;42.731152;17.965877;tf;deep cave;42.73115217.965877;4;;;;;;;;;;;;;;;;;;;;;;
548;Zvone?ka II;Croatia;19.3.2009.;2009-03-19;1 m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.531095;15.367671;Tb;deep cave;45.53109515.367671;3;;;;;;;;;;;;;;;;;;;;;;
549;?ot jama;Croatia;6.6.2009.;2009-06-06;1 m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.536515;15.338202;Tb;deep cave;45.53651515.338202;3;;;;;;;;;;;;;;;;;;;;;;
550;Zvone?ka II;Croatia;19.3.2009.;2009-03-19;3 juv;3;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.531095;15.367671;Tb;deep cave;45.53109515.367671;3;;;;;;;;;;;;;;;;;;;;;;
551;Zvone?ka II;Croatia;6.6.2009.;2009-06-06;3m, 1 juv;4;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.531095;15.367671;Tb;deep cave;45.53109515.367671;3;;;;;;;;;;;;;;;;;;;;;;
552;Riobamba jama;Croatia;21.3.2009.;2009-03-21;2f, 1 juv;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.64562;15.421545;Tf;deep cave;45.6456215.421545;2;;;;;;;;;;;;;;;;;;;;;;
553;Špilja pokraj Kozja?e;Croatia;17.9.2009.;2009-09-17;1 m;1;Linyphiidae;Porrhomma;microps;Porrhomma microps;145;45.638885;15.394546;Tf;deep cave;45.63888515.394546;1;;;;;;;;;;;;;;;;;;;;;;
555;Vrlovka;Croatia;17.3.2009.;2009-03-17;1m, 1 juvf, 1juv;3;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;;45.63707;15.390544;tf;deep cave;45.6370715.390544;2;;;;;;;;;;;;;;;;;;;;;;
556;?ot jama;Croatia;6.6.2009.;2009-06-06;1 juv;1;Dysderidae;Stalita;pretneri;Stalita pretneri;;45.536515;15.338202;Tb;deep cave;45.53651515.338202;3;;;;;;;;;;;;;;;;;;;;;;
557;?ot jama;Croatia;6.6.2009.;2009-06-06;1 f;1;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;;45.536515;15.338202;tf;deep cave;45.53651515.338202;3;;;;;;;;;;;;;;;;;;;;;;
562;K`U?ka;Croatia;23.4.2009.;2009-04-23;1 juv m;1;Dysderidae;Stalita;taenaria;Stalita taenaria;1100;45.303353;14.210369;Tb;deep cave;45.30335314.210369;3;;;;;;;;;;;;;;;;;;;;;;
563;Borušnjak 3;Croatia;25.6.2009.;2009-06-25;1 juv;1;Dysderidae;Stalita;taenaria;Stalita taenaria;;45.375119;14.180968;Tb;deep cave;45.37511914.180968;1;;;;;;;;;;;;;;;;;;;;;;
564;Jama pod Velikim Knezgradom;Croatia;28.6.2009.;2009-06-28;1 juv;1;Dysderidae;Stalita;taenaria;Stalita taenaria;;45.28092;14.249305;Tb;deep cave;45.2809214.249305;2;;;;;;;;;;;;;;;;;;;;;;
565;Jama pod Križ;Croatia;27.6.2009.;2009-06-27;2f;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.374314;14.113041;Tb;deep cave;45.37431414.113041;1;;;;;;;;;;;;;;;;;;;;;;
567;Borušnjak 1;Croatia;25.6.2009.;2009-06-25;1m;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.370735;14.186981;Tb;deep cave;45.37073514.186981;1;;;;;;;;;;;;;;;;;;;;;;
568;Pe?ina kod planinarske ku?e Pavlovac;Croatia;20.9.2008.;2008-09-20;2m;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.371352;14.191845;Tb;deep cave;45.37135214.191845;1;;;;;;;;;;;;;;;;;;;;;;
569;ZV-1;Croatia;24.4.2009.;2009-04-24;4f, 2m;6;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.352478;14.253225;Tb;deep cave;45.35247814.253225;2;;;;;;;;;;;;;;;;;;;;;;
570;ZV-1;Croatia;24.4.2009.;2009-04-24;1m;1;Linyphiidae;Tenuiphantes;cristatus;Tenuiphantes cristatus;;45.352478;14.253225;SubTf?;;45.35247814.253225;2;;;;;;;;;;;;;;;;;;;;;;
572;Jama u Debelom bregu;Croatia;25.4.2009.;2009-04-25;1f, 1m;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.358239;14.25243;Tb;deep cave;45.35823914.25243;1;;;;;;;;;;;;;;;;;;;;;;
573;Borušnjak 1;Croatia;25.6.2009.;2009-06-25;1f;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.370735;14.186981;Tb;deep cave;45.37073514.186981;1;;;;;;;;;;;;;;;;;;;;;;
574;Jama pod Velikim Knezgradom;Croatia;28.6.2009.;2009-06-28;3f;3;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.28092;14.249305;Tb;deep cave;45.2809214.249305;2;;;;;;;;;;;;;;;;;;;;;;
575;Špilja iznad Velikog Bresta;Croatia;20.9.2009.;2009-09-20;5f, 1juv f;6;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;743;45.429588;14.095256;tb;deep cave;45.42958814.095256;3;;;;;;;;;;;;;;;;;;;;;;
576;Borušnjak 2;Croatia;25.6.2009.;2009-06-25;2f, 2juv;4;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.374948;14.180971;Tb;deep cave;45.37494814.180971;1;;;;;;;;;;;;;;;;;;;;;;
578;Jama u Debelom bregu;Croatia;25.4.2009.;2009-04-25;1f, 1juv m;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.358239;14.25243;Tb;deep cave;45.35823914.25243;1;;;;;;;;;;;;;;;;;;;;;;
579;Jama na Mahencu 1;Croatia;22.4.2009.;2009-04-22;1f, 1m, 7juv;9;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.348186;14.239877;Tb;deep cave;45.34818614.239877;1;;;;;;;;;;;;;;;;;;;;;;
580;Jame na Zaluki;Croatia;22.4.2009.;2009-04-22;1m;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.34416;14.235222;Tb;deep cave;45.3441614.235222;2;;;;;;;;;;;;;;;;;;;;;;
581;Jama na Mahencu 2;Croatia;22.4.2009.;2009-04-22;1f;1;Cheiracanthiidae;Gen.;sp.;Gen. sp.;890;45.348335;14.23389;SubTf?;;45.34833514.23389;4;;;;;;;;;;;;;;;;;;;;;;
582;Pe?ina kod sela Puhari;Croatia;21.4.2009.;2009-04-21;1f, 1juv m;2;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;;45.328896;14.256583;Tf;deep cave;45.32889614.256583;2;;;;;;;;;;;;;;;;;;;;;;
583;Pe?ina kod sela Puhari;Croatia;21.4.2009.;2009-04-21;1f, 1juv f;2;Linyphiidae;Troglohyphantes;liburnicus;Troglohyphantes liburnicus;;45.328896;14.256583;Tb;deep cave;45.32889614.256583;2;;;;;;;;;;;;;;;;;;;;;;
585;Pe?ina kod planinarske ku?e Pavlovac;Croatia;20.6.2009.;2009-06-20;1f;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.371352;14.191845;Tb;deep cave;45.37135214.191845;1;;;;;;;;;;;;;;;;;;;;;;
586;Druška pe?;Croatia;24.4.2009.;2009-04-24;1m, 1juv m;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.249486;14.231421;Tf;deep cave;45.24948614.231421;2;;;;;;;;;;;;;;;;;;;;;;
587;Borušnjak 1;Croatia;25.6.2009.;2009-06-25;1m, 2juv m;3;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.370735;14.186981;Tb;deep cave;45.37073514.186981;1;;;;;;;;;;;;;;;;;;;;;;
589;Jama na Mahencu 2;Croatia;22.4.2009.;2009-04-22;2f, 1juv;3;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.348335;14.23389;Tb;deep cave;45.34833514.23389;4;;;;;;;;;;;;;;;;;;;;;;
590;K`U?ka;Croatia;23.4.2009.;2009-04-23;1f juv;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.303353;14.210369;Tf;deep cave;45.30335314.210369;3;;;;;;;;;;;;;;;;;;;;;;
591;K`U?ka;Croatia;23.4.2009.;2009-04-23;1f;1;Agelenidae;Histopona;luxurians;Histopona luxurians;;45.303353;14.210369;tf;deep cave;45.30335314.210369;3;;;;;;;;;;;;;;;;;;;;;;
592;Borušnjak 2;Croatia;25.6.2009.;2009-06-25;1m, 2f;3;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.374948;14.180971;Tb;deep cave;45.37494814.180971;1;;;;;;;;;;;;;;;;;;;;;;
593;ZV-1;Croatia;24.4.2009.;2009-04-24;1m, 1f, 1juv;3;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.352478;14.253225;Tb;deep cave;45.35247814.253225;2;;;;;;;;;;;;;;;;;;;;;;
594;Druška pe?;Croatia;24.4.2009.;2009-04-24;1 juv;1;Pholcidae;Pholcus;sp.;Pholcus sp.;;45.249486;14.231421;Tf;;45.24948614.231421;2;;;;;;;;;;;;;;;;;;;;;;
595;Jama u Vetvi;Croatia;26.4.2009.;2009-04-26;1m;1;Dysderidae;Dysdera;adriatica;Dysdera adriatica;;45.332148;14.240733;Tx;;45.33214814.240733;3;;;;;;;;;;;;;;;;;;;;;;
598;Pe?ina pod Brložnikom;Croatia;13.9.2008.;2008-09-13;1f, 1juv;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.336603;14.227302;Tb;deep cave;45.33660314.227302;1;;;;;;;;;;;;;;;;;;;;;;
599;Proljetna jama;Croatia;28.6.2009.;2009-06-28;1f, 1juv m;2;Linyphiidae;Troglohyphantes;liburnicus;Troglohyphantes liburnicus;;45.284901;14.24706;Tb;deep cave;45.28490114.24706;1;;;;;;;;;;;;;;;;;;;;;;
600;Jama SD 2;Croatia;24.4.2009.;2009-04-24;1f;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.356722;14.228408;Tb;deep cave;45.35672214.228408;1;;;;;;;;;;;;;;;;;;;;;;
601;Jama na Lipovice;Croatia;25.4.2009.;2009-04-25;1f;1;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;940;45.368907;14.245975;Tf;deep cave;45.36890714.245975;4;;;;;;;;;;;;;;;;;;;;;;
602;Jama na Lipovice;Croatia;25.4.2009.;2009-04-25;1m, 2f, 1juv;4;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.368907;14.245975;Tb;deep cave;45.36890714.245975;4;;;;;;;;;;;;;;;;;;;;;;
603;Jama na Lipovice;Croatia;25.4.2009.;2009-04-25;1m;1;Linyphiidae;Tenuiphantes;cristatus;Tenuiphantes cristatus;;45.368907;14.245975;SubTf?;;45.36890714.245975;4;;;;;;;;;;;;;;;;;;;;;;
604;Jama pod Velikim Knezgradom;Croatia;28.6.2009.;2009-06-28;1f;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.28092;14.249305;Tb;deep cave;45.2809214.249305;2;;;;;;;;;;;;;;;;;;;;;;
605;Jama na Zaluki (ispred);Croatia;22.4.2009.;2009-04-22;1f;1;Linyphiidae;Palliduphantes;istrianus;Palliduphantes istrianus;;45.34416;14.235222;Tf;shallow subterranean habitat;45.3441614.235222;2;;;;;;;;;;;;;;;;;;;;;;
607;Barinova jama;Croatia;11.9.2008.;2008-09-11;1m, 1juv m;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.354889;14.126033;Tb;deep cave;45.35488914.126033;1;;;;;;;;;;;;;;;;;;;;;;
608;Rudnik u Medveji;Croatia;24.4.2009.;2009-04-24;1f, 1juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.271377;14.268107;Tf;deep cave;45.27137714.268107;1;;;;;;;;;;;;;;;;;;;;;;
609;Jama u Vetvi;Croatia;26.4.2009.;2009-04-26;1f;1;Linyphiidae;Troglohyphantes;liburnicus;Troglohyphantes liburnicus;;45.332148;14.240733;Tb;deep cave;45.33214814.240733;3;;;;;;;;;;;;;;;;;;;;;;
610;ZV-1;Croatia;24.4.2009.;2009-04-24;1f, 1m;2;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.352478;14.253225;Tb;deep cave;45.35247814.253225;2;;;;;;;;;;;;;;;;;;;;;;
613;Jama na Lipovice;Croatia;25.4.2009.;2009-04-25;1f;1;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.368907;14.245975;Tb;deep cave;45.36890714.245975;4;;;;;;;;;;;;;;;;;;;;;;
615;ZV-1;Croatia;24.4.2009.;2009-04-24;6f, 1m;7;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.352478;14.253225;Tb;deep cave;45.35247814.253225;2;;;;;;;;;;;;;;;;;;;;;;
616;Jama na Mahencu 2;Croatia;22.4.2009.;2009-04-22;1m, 5f;6;Linyphiidae;Troglohyphantes;brignolii;Troglohyphantes brignolii;;45.348335;14.23389;Tb;deep cave;45.34833514.23389;4;;;;;;;;;;;;;;;;;;;;;;
617;Jama u Velim Sapcima 3;Croatia;26.4.2009.;2009-04-26;1f, 2juv;3;Linyphiidae;Troglohyphantes;liburnicus;Troglohyphantes liburnicus;850;45.359003;14.242656;Tb;deep cave;45.35900314.242656;5;;;;;;;;;;;;;;;;;;;;;;
618;Jama u Velim Sapcima 3;Croatia;26.4.2009.;2009-04-26;1f, 1m;2;Linyphiidae;Troglohyphantes;excavatus;Troglohyphantes excavatus;;45.359003;14.242656;Tf;deep cave;45.35900314.242656;5;;;;;;;;;;;;;;;;;;;;;;
619;Jama u Velim Sapcima 3;Croatia;26.4.2009.;2009-04-26;1m;1;Tetragnathidae;Metellina;mengei;Metellina mengei;;45.359003;14.242656;SubTf?;;45.35900314.242656;5;;;;;;;;;;;;;;;;;;;;;;
622;Jama na Lipovice;Croatia;25.4.2009.;2009-04-25;2f;2;Tetragnathidae;Metellina;merianae;Metellina merianae;;45.368907;14.245975;tf;deep cave;45.36890714.245975;4;;;;;;;;;;;;;;;;;;;;;;
623;Jama na Mahencu 2;Croatia;22.4.2009.;2009-04-22;1m;1;Tetragnathidae;Metellina;merianae;Metellina merianae;;45.348335;14.23389;tf;deep cave;45.34833514.23389;4;;;;;;;;;;;;;;;;;;;;;;
624;Jama na Mahencu 2;Croatia;22.4.2009.;2009-04-22;1f;1;Agelenidae;Tegenaria;silvestris;Tegenaria silvestris;;45.348335;14.23389;Tf;deep cave;45.34833514.23389;4;;;;;;;;;;;;;;;;;;;;;;
625;Jama u Velim Sapcima 3;Croatia;26.4.2009.;2009-04-26;1f;1;Agelenidae;Tegenaria;sp. 1;Tegenaria sp. 1;;45.359003;14.242656;SubTf?;deep cave;45.35900314.242656;5;;;;;;;;;;;;;;;;;;;;;;
627;Jama u Vetvi;Croatia;26.4.2009.;2009-04-26;1m;1;cf. Tetragnathidae;Gen. 1;sp. 1;Gen. 1 sp. 1;;45.332148;14.240733;Tx;;45.33214814.240733;3;;;;;;;;;;;;;;;;;;;;;;
628;Ledenica u Špeharima;Croatia;3.12.2009.;2009-12-03;1m;1;Dysderidae;Parastalita;stygia;Parastalita stygia;;45.371029;15.317544;Tb;deep cave;45.37102915.317544;1;;;;;;;;;;;;;;;;;;;;;;
632;Jama kod Koli?a 2;Croatia;2.12.2009.;2009-12-02;1m;1;Linyphiidae;Troglohyphantes;croaticus;Troglohyphantes croaticus;;45.343306;15.316733;Tb;deep cave;45.34330615.316733;2;;;;;;;;;;;;;;;;;;;;;;
633;Tounj?ica;Croatia;5.12.2009.;2009-12-05;2f;2;Linyphiidae;Porrhomma;convexum;Porrhomma convexum;;45.248722;15.322408;Tf;deep cave;45.24872215.322408;5;14;;;;;;;;;;;;;;;;;;;;;
634;Špilja u kanjonu Bistraca kod Kromara;Croatia;25.8.2008.;2008-08-25;1f;1;Linyphiidae;Porrhomma;egeria;Porrhomma egeria;230;45.280604;15.289475;Tf;deep cave;45.28060415.289475;2;;;;;;;;;;;;;;;;;;;;;;
635;Urinjska špilja;Croatia;17.10.2009.;2009-10-17;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;10;45.285721;14.524173;tf;deep cave;45.28572114.524173;5;;;;;;;;;;;;;;;;;;;;;;
636;Urinjska špilja;Croatia;17.10.2009.;2009-10-17;1 juv;1;Dysderidae;Stalita;taenaria;Stalita taenaria;;45.285721;14.524173;Tb;deep cave;45.28572114.524173;5;;;;;;;;;;;;;;;;;;;;;;
637;Mali štumbur;Croatia;18.10.2009.;2009-10-18;1m;1;Dysderidae;Stalita;taenaria;Stalita taenaria;48;45.297181;14.503575;Tb;deep cave;45.29718114.503575;2;;;;;;;;;;;;;;;;;;;;;;
639;Špilja kod kompresorske stanice;Croatia;17.10.2009.;2009-10-17;1m, 2juv;3;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.315027;14.483783;tf;deep cave;45.31502714.483783;2;;;;;;;;;;;;;;;;;;;;;;
640;Špilja kod kompresorske stanice;Croatia;17.10.2009.;2009-10-17;1 juv;1;Pholcidae;Pholcus;sp.;Pholcus sp.;;45.315027;14.483783;;;45.31502714.483783;2;;;;;;;;;;;;;;;;;;;;;;
641;Urinjska špilja;Croatia;15.10.2009.;2009-10-15;1 m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.285721;14.524173;tf;deep cave;45.28572114.524173;5;;;;;;;;;;;;;;;;;;;;;;
642;Urinjska špilja;Croatia;17.10.2009.;2009-10-17;1f;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.285721;14.524173;tf;deep cave;45.28572114.524173;5;;;;;;;;;;;;;;;;;;;;;;
643;Rudnik iznad uvale Martinš?ica;Croatia;29.4.2009.;2009-04-29;1m, 1f;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.31777;14.487393;tf;deep cave;45.3177714.487393;1;;;;;;;;;;;;;;;;;;;;;;
647;Rudnik iznad uvale Martinš?ica;Croatia;29.4.2009.;2009-04-29;1f, 2juv m, 2juv;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;45.31777;14.487393;tf;deep cave;45.3177714.487393;1;;;;;;;;;;;;;;;;;;;;;;
