sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
1457,Podrum,Croatia,22.5.2004.,2004-05-22,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,180,43.234263,17.091929,,deep cave,#N/A
1459,Svetica,Croatia,25.10.2003.,2003-10-25,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,300,43.401143,16.894548,,deep cave,#N/A
1460,"Jamina, Biokovo",Croatia,24.3.2004.,2004-03-24,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,617,43.386358,16.925277,,deep cave,#N/A
1461,Stonjska peć donja,Croatia,27.10.2003.,2003-10-27,1 juv f,1,Agelenidae,Histopona,sp.,Histopona sp.,608,43.315167,17.130659,,deep cave,#N/A
1462,Jama za Supinom,Croatia,26.5.2004.,2004-05-26,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,,43.250417,17.113278,,deep cave,#N/A
1466,Čolnjača,Croatia,23.5.2004.,2004-05-23,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,43.409175,16.88745,,deep cave,#N/A
1467,Špilja na Mrždolcu,Croatia,21.11.2005.,2005-11-21,1 juv m,1,Agelenidae,Histopona,sp.,Histopona sp.,461,43.405319,17.014811,,deep cave,#N/A
1468,Jama u Bratušu,Croatia,27.10.2006.,2006-10-27,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,25,43.328376,16.979405,,deep cave,#N/A
1469,Ješkalovica,Croatia,4.1.2009.,2009-01-04,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,155,43.299857,16.839313,tf,deep cave,#N/A
1472,Rudnik Zrinski,Croatia,8.10.2008.,2008-10-08,"1f,2 juv",3,Agelenidae,Histopona,torpida,Histopona torpida,804,45.887195,15.927871,Tx,deep cave,#N/A
1473,Špilja u Nevistinim stinama,Croatia,22.3.2003.,2003-03-22,1 juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,545,43.38269,16.942238,,deep cave,#N/A
1475,Jama na Saranču,Croatia,25.3.2005.,2005-03-25,1f,1,Agelenidae,Tegenaria,sp. 4,Tegenaria sp. 4,725,43.247108,17.176093,,deep cave,#N/A
1476,Mucića ledenica,Croatia,24.5.2004.,2004-05-24,1f,1,Agelenidae,Tegenaria,sp. 2,Tegenaria sp. 2,1250,43.35632,17.051544,,deep cave,#N/A
1478,Špilja u uvali Svežanj,Croatia,6.4.2008.,2008-04-06,"2 juv m,1 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,3,45.298144,14.49561,,deep cave,#N/A
1481,Kukor,Croatia,17.8.2000.,2000-08-17,"1f,1 juv",2,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,425,43.355609,16.991707,tb,deep cave,#N/A
1483,Kuterčeva špilja,Croatia,25.5.2008.,2008-05-25,"1m,1 juv",2,Nesticidae,Nesticus,cellulanus,Nesticus cellulanus,221,45.120864,15.635259,tf,deep cave,#N/A
1484,Stara Ledenica,Croatia,16.6.2002.,2002-06-16,1 juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,,43.318824,17.050297,,deep cave,#N/A
1485,Kuterčeva špilja,Croatia,8.6.2003.,2003-06-08,"1f,1 juv",2,Nesticidae,Nesticus,cellulanus,Nesticus cellulanus,221,45.120864,15.635259,tf,deep cave,#N/A
1486,Milića špilja,Croatia,30.7.2006.,2006-07-30,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,44.143333,15.803133,tf,deep cave,#N/A
1487,"Dvojama, Klana",Croatia,29.3.2007.,2007-03-29,1m,1,Agelenidae,Tegenaria,ferruginea,Tegenaria ferruginea,614,45.448806,14.424279,Tf,deep cave,#N/A
1488,Grizeljeva jama,Croatia,30.4.2005.,2005-04-30,1f,1,Agelenidae,Tegenaria,sp. 4,Tegenaria sp. 4,930,43.867534,16.399097,,deep cave,#N/A
1489,Jama u Bratušu,Croatia,27.8.2005.,2005-08-27,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,25,43.328376,16.979405,,deep cave,#N/A
1490,Velika špilja na Bukovcima,Croatia,21.11.2005.,2005-11-21,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,459,43.403686,17.022825,,deep cave,#N/A
1491,Nevakuša špilja,Croatia,2.12.2009.,2009-12-02,1f,1,Agelenidae,Histopona,conveniens,Histopona conveniens,,42.97412,17.686578,Tf,deep cave,#N/A
1494,Pišurka,Croatia,2.6.2000.,2000-06-02,2f,2,Agelenidae,Tegenaria,annulata,Tegenaria annulata,39,42.959451,17.129228,tf,deep cave,#N/A
1495,Kuna špilja,Croatia,27.8.1998.,1998-08-27,1m,1,Nesticidae,Kryptonesticus,deelemanae,Kryptonesticus deelemanae,1401,43.324523,17.055953,tb,deep cave,#N/A
1496,Jama na Kačju,Croatia,21.7.2006.,2006-07-21,1m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,45.553891,14.504034,Tf,deep cave,#N/A
1497,Kuterčeva špilja,Croatia,25.5.2008.,2008-05-25,"1f,2 m",3,Nesticidae,Nesticus,cellulanus,Nesticus cellulanus,221,45.120864,15.635259,tf,deep cave,#N/A
1498,Jama na Suhom Ruminu,Croatia,27.7.2002.,2002-07-27,1m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,391,43.782202,16.645051,tf,deep cave,#N/A
1500,Kraljicina špilja,Croatia,19.10.2007.,2007-10-19,"4f,1m",5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,44,43.073661,16.100773,tf,deep cave,#N/A
1501,Brajkovica,Croatia,24.8.2006.,2006-08-24,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,43.042669,16.099975,tf,deep cave,#N/A
1502,Kraljicina špilja,Croatia,19.10.2007.,2007-10-19,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,44,43.073661,16.100773,,deep cave,#N/A
1503,Kraljicina špilja,Croatia,19.10.2007.,2007-10-19,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,44,43.073661,16.100773,tf,deep cave,#N/A
1504,Jama za Mahrincem,Croatia,5.1.2005.,2005-01-05,"2f,1 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,54,43.344348,16.74088,tf,deep cave,#N/A
1505,Polušpilja na Mrčari,Croatia,1.10.2007.,2007-10-01,2 juv,2,Agelenidae,Tegenaria,sp.,Tegenaria sp.,,42.768583,16.788965,,deep cave,#N/A
1506,Kraljicina špilja,Croatia,3.10.2005.,2005-10-03,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,44,43.073661,16.100773,tf,deep cave,#N/A
1516,Špilja Jama,Croatia,17.3.2002.,2002-03-17,1f,1,Agelenidae,Tegenaria,bosnica,Tegenaria bosnica,,43.110888,17.354016,,deep cave,#N/A
1517,Jama na Srakinju,Croatia,18.9.1996.,1996-09-18,1m,1,Agelenidae,Tegenaria,sp. X,Tegenaria sp. X,,43.2,16.7,,deep cave,#N/A
1518,Špilja na vrh Toraca,Croatia,23.8.2005.,2005-08-23,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.705575,18.03049,tf,deep cave,#N/A
1521,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
1522,Nevakuša špilja,Croatia,11.9.1997.,1997-09-11,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.97412,17.686578,,deep cave,#N/A
1523,Stražbenica,Croatia,3.5.2009.,2009-05-03,3f,3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,213,43.697353,16.029618,tf,deep cave,#N/A
1524,Male ponte,Croatia,21.6.2001.,2001-06-21,3 juv,3,Agelenidae,Histopona,bidens,Histopona bidens,250,42.761389,17.430786,tb,deep cave,#N/A
1526,Kaverna u tunelu HE Plat,Croatia,10.8.2000.,2000-08-10,"4f,2 juv",6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.603833,18.232834,tf,deep cave,#N/A
1528,Močiljska špilja,Croatia,1.11.2003.,2003-11-01,"1f,1 juv",2,Agelenidae,Histopona,dubia,Histopona dubia,410,42.689061,18.071906,tb,deep cave,#N/A
1529,Vilina špilja-Izvor Omble,Croatia,7.10.2004.,2004-10-07,"1f,8 juv",9,Agelenidae,Histopona,dubia,Histopona dubia,137,42.67716,18.136236,tb,deep cave,#N/A
1530,Ostaševica,Croatia,17.6.2001.,2001-06-17,"1f,1 juv",2,Agelenidae,Histopona,bidens,Histopona bidens,220,42.748959,17.544404,tb,deep cave,#N/A
1531,Vilinska jama,Croatia,2.4.2007.,2007-04-02,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,121,42.728553,17.881121,,deep cave,#N/A
1532,Banova ljut,Croatia,4.4.2007.,2007-04-04,"1f,1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.724023,18.023649,tf,deep cave,#N/A
1533,Banova ljut,Croatia,4.4.2007.,2007-04-04,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,,42.724023,18.023649,,deep cave,#N/A
1534,Špilja za Gromačkom vlakom,Croatia,29.5.2004.,2004-05-29,1 f,1,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1535,Jama pod Velji vrh,Croatia,14.6.2001.,2001-06-14,"2m,1f, 2 juv",5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.766635,16.907278,tf,deep cave,#N/A
1536,Špilja na vrh Toraca,Croatia,8.10.2004.,2004-10-08,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,,42.705575,18.03049,,deep cave,#N/A
1537,Špilja za Gromačkom vlakom,Croatia,29.5.2004.,2004-05-29,2f,2,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1539,Vilina špilja-Izvor Omble,Croatia,11.8.2000.,2000-08-11,4 juv,4,Agelenidae,Histopona,sp.,Histopona sp.,137,42.67716,18.136236,,deep cave,#N/A
1540,Rudina,Croatia,9.9.2006.,2006-09-09,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,,42.721999,18.015321,tb,deep cave,#N/A
1541,Rudina,Croatia,9.9.2004.,2004-09-09,2 juv,2,Agelenidae,HIstopona,sp.,HIstopona sp.,,42.721999,18.015321,,deep cave,#N/A
1542,Špilja na vrh Toraca,Croatia,8.10.2004.,2004-10-08,3 juv,3,Agelenidae,Histopona,sp.,Histopona sp.,,42.705575,18.03049,,deep cave,#N/A
1543,Banova ljut,Croatia,7.9.2006.,2006-09-07,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,,42.724023,18.023649,tb,deep cave,#N/A
1544,Debela ljut,Croatia,7.4.2006.,2006-04-07,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.717699,18.022036,tf,deep cave,#N/A
1545,Špilja za Gromačkom vlakom,Croatia,25.-26.3.2003.,2003-03-25/2003-03-26,2 f,2,Tetragnathidae,Metellina,merianae,Metellina merianae,605,42.743509,18.027359,Tf,deep cave,#N/A
1546,Špilja za Gromačkom vlakom,Croatia,25.-26.3.2003.,2003-03-25/2003-03-26,"1f,2 juv",3,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1547,Špilja za Gromačkom vlakom,Croatia,8.5.2006.,2006-05-08,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1548,Špilja za Gromačkom vlakom,Croatia,29.3.2003.,2003-03-29,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,605,42.743509,18.027359,,deep cave,#N/A
1549,Špilja na vrh Toraca,Croatia,23.8.2005.,2005-08-23,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,42.705575,18.03049,,deep cave,#N/A
1550,Banova ljut,Croatia,4.4.2007.,2007-04-04,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,,42.724023,18.023649,,deep cave,#N/A
1551,Banova ljut,Croatia,4.4.2007.,2007-04-04,"1f, 1 juv",2,Agelenidae,Histopona,dubia,Histopona dubia,,42.724023,18.023649,tb,deep cave,#N/A
1552,Banova ljut,Croatia,7.9.2006.,2006-09-07,1 f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.724023,18.023649,tf,deep cave,#N/A
1553,Špilja za Gromačkom vlakom,Croatia,29.3.2003.,2003-03-29,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,605,42.743509,18.027359,,deep cave,#N/A
1554,Špilja za Gromačkom vlakom,Croatia,25.-26.3.2003.,2003-03-25/2003-03-26,"2 f,1juv",3,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1555,Špilja na vrh Toraca,Croatia,23.8.2005.,2005-08-23,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.705575,18.03049,tf,deep cave,#N/A
1556,Močiljska špilja,Croatia,28.3.2003.,2003-03-28,1 m,1,Agelenidae,Histopona,dubia,Histopona dubia,410,42.689061,18.071906,tb,deep cave,#N/A
1557,Močiljska špilja,Croatia,,,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,410,42.689061,18.071906,,deep cave,#N/A
1558,Močiljska špilja,Croatia,28.3.2003.,2003-03-28,5 juv,5,Agelenidae,Histopona,sp.,Histopona sp.,410,42.689061,18.071906,,deep cave,#N/A
1559,Močiljska špilja,Croatia,8.10.2004.,2004-10-08,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,410,42.689061,18.071906,,deep cave,#N/A
1561,Močiljska špilja,Croatia,1.4.2007.,2007-04-01,"1 m, 1f",2,Agelenidae,Histopona,dubia,Histopona dubia,410,42.689061,18.071906,tb,deep cave,#N/A
1563,Vilinska jama,Croatia,2.4.2007.,2007-04-02,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,121,42.728553,17.881121,tb,deep cave,#N/A
1564,Jama pod Sv. Spasom,Croatia,20.6.2001.,2001-06-20,"1juv m, 3 juv",4,Agelenidae,Histopona,bidens,Histopona bidens,134,42.731779,17.542409,tb,deep cave,#N/A
1565,Jama pod Sv. Spasom,Croatia,2.12.2001.,2001-12-02,1 m,1,Tetragnathidae,Metellina,merianae,Metellina merianae,,42.731779,17.542409,Tf,deep cave,#N/A
1567,Vilina špilja-Izvor Omble,Croatia,11.8.2000.,2000-08-11,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.67716,18.136236,tf,deep cave,#N/A
1569,Škarin Samograd,Croatia,8.1.2005.,2005-01-08,"1m,1 juv m, 1juv",3,Tetragnathidae,Metellina,merianae,Metellina merianae,,43.781501,16.09613,Tf,deep cave,#N/A
1570,Močiljska špilja,Croatia,28.4.2010.,2010-04-28,"1m, 1juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,410,42.689061,18.071906,tf,deep cave,#N/A
1571,Močiljska špilja,Croatia,28.4.2010.,2010-04-28,2 juv,2,Agelenidae,Histopona,sp.,Histopona sp.,410,42.689061,18.071906,,deep cave,#N/A
1572,Močiljska špilja,Croatia,28.4.2010.,2010-04-28,"1 juv m,1juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,410,42.689061,18.071906,tf,deep cave,#N/A
1573,Močiljska špilja,Croatia,28.4.2010.,2010-04-28,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,410,42.689061,18.071906,,deep cave,#N/A
1574,Vilina špilja-Izvor Omble,Croatia,29.4.2010.,2010-04-29,"1f,1 juv m",2,Agelenidae,Histopona,dubia,Histopona dubia,137,42.67716,18.136236,tb,deep cave,#N/A
1575,Špilja za Gromačkom vlakom,Croatia,27.4.2010.,2010-04-27,1f,1,Agelenidae,Histopona,dubia,Histopona dubia,605,42.743509,18.027359,tb,deep cave,#N/A
1576,Špilja za Gromačkom vlakom,Croatia,27.4.2010.,2010-04-27,5 juv,5,Agelenidae,Histopona,sp.,Histopona sp.,605,42.743509,18.027359,,deep cave,#N/A
1581,Banova ljut,Croatia,4.4.2007.,2007-04-04,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.724023,18.023649,tf,deep cave,#N/A
1583,Jama pod Sv. Spasom,Croatia,20.6.2001.,2001-06-20,1juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,134,42.731779,17.542409,,deep cave,#N/A
1584,Piskovica,Croatia,13.5.2001.,2001-05-13,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,315,45.26207,14.03692,tf,deep cave,#N/A
1585,Uviraljka,Croatia,21.9.2010.,2010-09-21,"4f, 1m",5,Linyphiidae,Porrhomma,egeria,Porrhomma egeria,810,45.522243,17.62067,Tf,deep cave,#N/A
1586,Uviraljka,Croatia,21.9.2010.,2010-09-21,"3f, 3 juv",6,Linyphiidae,Porrhomma,egeria,Porrhomma egeria,810,45.522243,17.62067,Tf,deep cave,#N/A
1587,Jančikin guz,Croatia,23.9.2010.,2010-09-23,1f,1,Linyphiidae,Centromerus,cavernarum,Centromerus cavernarum,,45.517713,17.668957,Tf,deep cave,#N/A
1589,Miljacka 1- 5,Croatia,8.10.2010.,2010-10-08,1 juv,1,Agelenidae,Histopona,sp.,Histopona sp.,,44.004754,16.023086,,deep cave,#N/A
1591,Kukor,Croatia,19.6.2002.,2002-06-19,1f,1,Theridiidae,Gen.,sp.,Gen. sp.,425,43.355609,16.991707,,,#N/A
1593,Markov ponor,Croatia,15.8.2009.,2009-08-15,1f,1,Linyphiidae,Troglohyphantes,sp. 3,Troglohyphantes sp. 3,,44.765318,15.176875,tb,deep cave,#N/A
1595,Mala Golubnjača,Croatia,16.8.2009.,2009-08-16,1juv f,1,Nesticidae,Nesticus,cellulanus,Nesticus cellulanus,,44.756723,15.189413,tf,deep cave,#N/A
1596,Mala Golubnjača,Croatia,16.8.2009.,2009-08-16,"2m, 4 juv",6,Linyphiidae,Troglohyphantes,sp. 3,Troglohyphantes sp. 3,,44.756723,15.189413,tb,deep cave,#N/A
1597,Velika Golubnjača,Croatia,16.8.2009.,2009-08-16,"2m, 7f, 1 juv",1,Linyphiidae,Troglohyphantes,sp. 3,Troglohyphantes sp. 3,,44.756325,15.190472,tb,deep cave,#N/A
1598,Markarova špilja,Croatia,14.10.1995.,1995-10-14,1m,1,Tetragnathidae,Metellina,merianae,Metellina merianae,,45.033811,15.258625,Tf,deep cave,#N/A
1600,Vrelo,Croatia,20.2.1999.,1999-02-20,1f,1,Linyphiidae,Troglohyphantes,croaticus,Troglohyphantes croaticus,730,45.326489,14.704217,Tb,deep cave,#N/A
1601,Vrelo,Croatia,20.2.1999.,1999-02-20,1f,1,Linyphiidae,Gen. 6,sp. 1,Gen. 6 sp. 1,730,45.326489,14.704217,,,#N/A
1603,Vrelo,Croatia,20.2.1999.,1999-02-20,1m,1,Dysderidae,Stalita,pretneri,Stalita pretneri,730,45.326489,14.704217,Tb,deep cave,#N/A
1604,Vrelo,Croatia,3.7.1994.,1994-07-03,"1f, 1 juv",2,Dysderidae,Parastalita,stygia,Parastalita stygia,730,45.326489,14.704217,Tb,deep cave,#N/A
1605,Vrelo,Croatia,30.3.1996.,1996-03-30,1f,1,Linyphiidae,Troglohyphantes,croaticus,Troglohyphantes croaticus,730,45.326489,14.704217,Tb,deep cave,#N/A
1606,Vrelo,Croatia,8.9.1994.,1994-09-08,2f,2,Dysderidae,Parastalita,stygia,Parastalita stygia,730,45.326489,14.704217,Tb,deep cave,#N/A
1607,Vrelo 2,Croatia,6.9.1995.,1995-09-06,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,730,45.326489,14.704217,Tb,deep cave,#N/A
1608,Lokvarka,Croatia,1.- 2.9.2001.,2001-09-01/2001-09-02,"1m, 3 juv",4,Dysderidae,Parastalita,stygia,Parastalita stygia,775,45.361466,14.762671,Tb,deep cave,#N/A
1609,Stupina jama,Croatia,10.9.1995.,1995-09-10,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,920,45.242487,14.788115,Tb,deep cave,#N/A
1610,Medvjeđa špilja,Croatia,20.10.1996.,1996-10-20,"2m, 2f",4,Dysderidae,Parastalita,stygia,Parastalita stygia,809,45.363572,14.757905,Tb,deep cave,#N/A
1611,Medvjeđa špilja,Croatia,20.10.1996.,1996-10-20,1 juv m?,1,Dysderidae,Stalita,pretneri,Stalita pretneri,809,45.363572,14.757905,Tb,deep cave,#N/A
1612,Vrtložna jama,Croatia,1.7.2006.,2006-07-01,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,875,45.590817,14.515796,Tb,deep cave,#N/A
1613,Jama kod Vrbovskog,Croatia,30.9.1996.,1996-09-30,1f,1,Dysderidae,Parastalita,stygia,Parastalita stygia,,45.358714,15.073242,Tb,deep cave,#N/A
1614,Jama na Vršićku,Croatia,1.9.2006.,2006-09-01,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,873,45.453146,14.701154,Tb,deep cave,#N/A
1615,Lokvarka,Croatia,17.3.2007.,2007-03-17,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,775,45.361466,14.762671,Tb,deep cave,#N/A
1616,Lokvarka,Croatia,12.9.1996.,1996-09-12,3m,3,Dysderidae,Parastalita,stygia,Parastalita stygia,775,45.361466,14.762671,Tb,deep cave,#N/A
1617,Lokvarka,Croatia,14.6.1997.,1997-06-14,1juv,1,Dysderidae,Parastalita,stygia,Parastalita stygia,775,45.361466,14.762671,Tb,deep cave,#N/A
1618,Hircova jama,Croatia,2.8.2002.,2002-08-02,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,923,45.426113,14.664785,Tb,deep cave,#N/A
1619,Vrelo Ličanke,Croatia,20.7.1998.,1998-07-20,1m,1,Dysderidae,Parastalita,stygia,Parastalita stygia,740,45.329044,14.701574,Tb,deep cave,#N/A
1620,Lokvarka,Croatia,27.9.1997.,1997-09-27,1juv,1,Dysderidae,Parastalita,stygia,Parastalita stygia,775,45.361466,14.762671,Tb,deep cave,#N/A
1621,Grizeljeva jama,Croatia,8.8.2007.,2007-08-08,1f,1,Dysderidae,Harpactea,sp. 27,Harpactea sp. 27,,43.867534,16.399097,,,#N/A
1622,Jakasova spila,Croatia,25.4.2004.,2004-04-25,3 juv,3,Dysderidae,Folkia,haasi,Folkia haasi,95,42.91615,17.12834,Tb,deep cave,#N/A
1623,Jakasova spila,Croatia,27.8.1995.,1995-08-27,2 juv,2,Dysderidae,Folkia,haasi,Folkia haasi,,42.91615,17.12834,Tb,deep cave,#N/A
1624,Špilja kod Nerezinog dola,Croatia,8.8.1996.,1996-08-08,"1m, 1juv",2,Dysderidae,Folkia,inermis,Folkia inermis,,42.758378,17.436094,Tb,deep cave,#N/A
1625,Samograd,Croatia,26.4.2004.,2004-04-26,"1m, 1juv",2,Dysderidae,Folkia,haasi,Folkia haasi,,42.970451,16.995978,Tb,deep cave,#N/A
1626,Pišurka,Croatia,28.8.1995.,1995-08-28,1juv,1,Dysderidae,Folkia,haasi,Folkia haasi,,42.959451,17.129228,Tb,deep cave,#N/A
1627,Samograd,Croatia,1.9.1995.,1995-09-01,1juv,1,Dysderidae,Folkia,haasi,Folkia haasi,,42.970451,16.995978,Tb,deep cave,#N/A
1628,Pišurka,Croatia,12.2.1998.,1998-02-12,2 juv,2,Dysderidae,Folkia,haasi,Folkia haasi,,42.959451,17.129228,Tb,deep cave,#N/A
1630,Samograd,Croatia,4.6.2000.,2000-06-04,"3f, 1juv",4,Dysderidae,Folkia,haasi,Folkia haasi,,42.970451,16.995978,Tb,deep cave,#N/A
1631,Samograd,Croatia,12.2.1998.,1998-02-12,"1 juvm, 2 juv",3,Dysderidae,Folkia,haasi,Folkia haasi,,42.970451,16.995978,Tb,deep cave,#N/A
1632,Jakasova spila,Croatia,3.6.2000.,2000-06-03,"1f, 1 juv",2,Dysderidae,Folkia,haasi,Folkia haasi,,42.91615,17.12834,Tb,deep cave,#N/A
1633,Samograd,Croatia,26.4.2004.,2004-04-26,2 juv,2,Dysderidae,Folkia,haasi,Folkia haasi,,42.970451,16.995978,Tb,deep cave,#N/A
1634,Pišurka,Croatia,2.6.2000.,2000-06-02,2 juv,2,Dysderidae,Folkia,haasi,Folkia haasi,,42.959451,17.129228,Tb,deep cave,#N/A
1635,Jakasova spila,Croatia,25.4.2004.,2004-04-25,2 juv,2,Dysderidae,Folkia,haasi,Folkia haasi,,42.91615,17.12834,Tb,deep cave,#N/A
1636,Vodena peća,Croatia,17.8.2005.,2005-08-17,1f,1,Dysderidae,Stalagtia,sp. 4,Stalagtia sp. 4,610,43.792496,16.671447,Tb,deep cave,#N/A
1637,Grizeljeva jama,Croatia,8.8.2007.,2007-08-08,"1juvm, 1juv",2,Dysderidae,Harpactea,sp.,Harpactea sp.,,43.867534,16.399097,,,#N/A
1638,Vodena peća,Croatia,17.8.2005.,2005-08-17,1f,1,Dysderidae,Harpactea,sp. 33,Harpactea sp. 33,610,43.792496,16.671447,,,#N/A
1639,Močiljska špilja,Croatia,1.11.2003.,2003-11-01,1m,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1640,Šipun,Croatia,26.3.2004.,2004-03-26,1f,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,,42.583646,18.217986,Tb,deep cave,#N/A
1641,Močiljska špilja,Croatia,9.2.1998.,1998-02-09,1f,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1642,Močiljska špilja,Croatia,25.3.2004.,2004-03-25,1m,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1643,Močiljska špilja,Croatia,21.6.2001.,2001-06-21,"1f, 1 juv",2,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1644,Šipun,Croatia,12.2.2005.,2005-02-12,1f,1,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,,42.583646,18.217986,Tb,deep cave,#N/A
1645,Šipun,Croatia,19.8.2005.,2005-08-19,2 juv,2,Dysderidae,Stalagtia,sp. 1,Stalagtia sp. 1,,42.583646,18.217986,Tb,deep cave,#N/A
1646,Močiljska špilja,Croatia,27.6.2003.,2003-06-27,1juvm,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1647,Močiljska špilja,Croatia,28.3.2003.,2003-03-28,2 juv,2,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1649,Močiljska špilja,Croatia,1.11.2003.,2003-11-01,1 juv,1,Dysderidae,Stalagtia,sp. 5,Stalagtia sp. 5,,42.689061,18.071906,Tb,deep cave,#N/A
1652,Trogrla jama,Croatia,9.10.2010.,2010-10-09,"1m, 1f",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,44.014335,16.065195,tf,deep cave,#N/A
1653,Trogrla jama,Croatia,9.10.2010.,2010-10-09,1 juv,1,Dysderidae,Stalagtia,sp. 4,Stalagtia sp. 4,,44.014335,16.065195,Tb,deep cave,#N/A
1655,Trogrla jama,Croatia,9.10.2010.,2010-10-09,2juv,2,Dysderidae,Stalagtia,sp. 4,Stalagtia sp. 4,,44.014335,16.065195,Tb,deep cave,#N/A
