sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
14,Špilja na Pozalicu,Croatia,4.3.2008.,2008-03-04,1 f,1,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,61,4.276.131,169.129,tb,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
16,Polušpilja na Mrčari,Croatia,1.10.2007.,2007-10-01,"1f, 2 juv",3,Agelenidae,Tegenaria,domestica,Tegenaria domestica,48,42.768.583,16.788.965,Tf,cave entrance,,2,,"19,4","16,70208359","16,70208359","20,84999847",630,24,"149,308983",,,,,,,,
18,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,"1 f, 1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
19,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
20,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,"1 f, 1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,55,42.766.635,16.907.278,tf,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
21,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
23,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
25,Rača špilja,Croatia,28.9.2007.,2007-09-28,1f,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,90,42.734.493,16.910.785,Tb,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
26,Špilja pod Kaštel,Croatia,4.3.2008.,2008-03-04,1 m,1,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,44,42.768.041,16.899.005,tb,deep cave,,2,"15,3","16,95","16,4216671","16,4216671","22,7733345",668,29,"142,9000056","97,25",,nan,nan,1,nan,nan,nan
29,Hrastovska špilja,Croatia,4.3.2008.,2008-03-04,6 juv,6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
30,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,90,42.734.493,16.910.785,Tb,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
31,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,5 juv,5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
32,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,"1 f, 1 juv m",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
33,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,3 juv,3,Dysderidae,Folkia,sp. 2,Folkia sp. 2,55,42.766.635,16.907.278,Tb,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
34,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,90,42.734.493,16.910.785,Tb,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
35,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 f,1,Pholcidae,Pholcus,phalangioides,Pholcus phalangioides,61,4.276.131,169.129,,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
36,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,103,42.756.282,16.875.635,Tb,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
39,Špilja pod Kaštel,Croatia,27.9.2007.,2007-09-27,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,44,42.768.041,16.899.005,tf,deep cave,,2,"15,3","16,95","16,4216671","16,4216671","22,7733345",668,29,"142,9000056","97,25",,nan,nan,1,nan,nan,nan
41,Rača špilja,Croatia,2.10.2007.,2007-10-02,1 juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,90,42.734.493,16.910.785,,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
42,Jama Cvjetana Barbića,Croatia,1.10.2007.,2007-10-01,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,38,42.740.282,16.879.112,tf,deep cave,,1,,"17,2","16,37628174","16,37628174","22,81538391",662,28,"147,6523728",,,1,0.5,1,nan,5.5,6.5
44,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,55,42.766.635,16.907.278,tf,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
45,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,2 juv,2,Dysderidae,Folkia,sp. 2,Folkia sp. 2,103,42.756.282,16.875.635,Tb,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
46,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
47,Jama pod Velji vrh,Croatia,2.3.2008.,2008-03-02,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,55,42.766.635,16.907.278,Tb,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
48,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,"1 f, 1 juv",2,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,103,42.756.282,16.875.635,tb,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
50,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
51,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,1 f,1,Linyphiidae,Bathyphantes,sp. 1,Bathyphantes sp. 1,103,42.756.282,16.875.635,Tx,,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
