locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Špilja kod Žive vode,"1,5","1,5",1,,12,"0,5"
Uska jama      ,2,3,1,"8,5","2,2","8,2"
Špilja u mojoj dulibi,"2,7",2,1,7,"6,8","0,6"
Dimbunkaš,2,4,1,,10,25
Gnat,10,7,1,,80,343
Usputna jama,3,3,1,73,"31,3",45
Špilja u Razbojni,"2,5",1,1,,46,3
Jametina u šumi Badnja,30,20,1,,120,91
Staje 19,,,1,,,
Rastik,3,2,1,141,139,0
Jama u Kutu,3,5,1,79,41,27
Perina jama,2,1,1,310,180,139
Pod izohipsom,"1,5","1,1",1,8,6,6
Škundrića jama,1,1,1,,85,85
Ljiljkovača jama,4,4,1,75,47,32
Jama pored Jame 202,10,5,1,"52,8","30,7","32,9"
Jessikina špilja,2,"1,5",1,30,16,22
Jelovača,30,15,1,"180,9","95,49","128,1"
Bazuje uzvodno,2,4,1,"19,97","12,5",12
Špilja u uvali Svežanj,3,1,1,17,17,2
Špilja kod doca Kraorac,,,1,15,15,0
Crekvica 2,"2,5","2,5",1,,5,1
Jama uz cestu kod Sertić Poljane,"1,5",4,1,12,6,"7,5"
Napuknuta,4,17,1,"45,8","16,2","21,5"
Pi traverza,4,"2,4",1,"8,6","6,4","7,5"
Špilja Stražbenica,"7,5","2,3",1,,11,"2,3"
Bilina jama,6,5,1,126,98,38
Jama na Vilija ,,,1,,,
Jama na Povresku,"0,5","0,4",1,,3,"6,3"
Maravića jama,1,1,1,,"4,2",17
Pećina Plošenica,5,4,1,,24,13
Ponor Ljeskova draga,2,"1,7",1,"15,3","14,7",0
Fosilnica,6,"8,5",1,65,50,13
Punoleda,11,8,1,"110,8","48,3",95
Špilja do autoputa,,,1,58,58,"7,5"
Ponor u Klepinoj dulibi 2,,,1,,,
Gubeša,"1,4",1,1,51,25,29
Taraćuša,1,"0,5",1,16,2,15
Vaculet,"0,7",1,1,"6,4",5,"3,8"
UljeŽ,3,6,1,"24,1","7,4","22,7"
Jama na Grabri,1,1,1,35,17,17
Sedrena 1 kod slapa Skakavac,7,"1,5",1,,"6,5",0
Topli stiskavac,2,1,1,19,5,18
Mratovska jama,"0,5","0,5",1,77,25,72
Ponor u Podastrani,"1,6","1,2",1,,648,3
B1,1,1,1,7,3,6
Blitvica,5,3,1,30,30,20
Menstrualni grč,"3,5",2,1,6,6,1
Nemesi,1,1,1,12,9,"7,5"
Jamorinke,11,3,1,,11,33
Da Da Da,"0,5",2,1,20,8,"12,5"
Matjaž Kek,2,3,1,21,10,17
Golubinka nad Vukavama,6,7,1,32,12,25
Spilja poviše Lemiša,7,1,1,12,12,0
Jelovska griža,5,5,1,20,14,11
Špilja na Bračića gredi,2,"1,5",1,5,5,0
Mrgudova spilja,"0,5","0,5",1,,10,0
Jama na Valjala,"0,9","0,9",1,101,33,87
Gliboka,"0,9","0,9",1,43,"14,1","30,6"
Jama Broj Pet,9,"3,5",1,19,9,11
Špilja na Mrkvištu,,,1,,,
Jama prije okretaljke,7,5,1,13,4,13
Združena braća,"1,5",1,1,"6,3",6,"0,7"
Špilja pod Obodinom,38,24,1,156,144,36
Jama na Dučacu,"1,5",2,1,,55,"22,5"
Jama iznad Pražića jaruge,"10,5",5,1,,17,18
Zekina jama,3,"1,5",1,,390,78
Ponor Kolinasi,8,8,1,,1278,119
Jama nad Klačenicom,4,"1,7",1,,16,24
Zdenac,"0,5","0,5",1,"6,5",6,0
Ovčji upad,"1,2","0,8",1,,9,8
Vela jama na Lavdari,,,1,12,,40
DP,"0,6",2,1,"6,1","5,6","0,7"
Peć s vodom,1,"0,7",1,7,7,"0,5"
Spilja iznad izvora 2,1,"0,6",1,"16,8",11,0
Krajnik,27,6,1,35,35,2
Mravinjuša,8,"3,5",1,"76,3",46,44
Jama na Sjenokoši,6,"2,5",1,,200,76
Milord,3,2,1,105,31,94
Špilja na Tavanu,"1,8","1,5",1,"8,7",8,"2,5"
Crvene škrape,14,2,1,,42,36
Marinović Betina,,,1,,,
Grmljavina,4,4,1,,56,32
G14,1,2,1,,10,17
Kaluđerova špilja,"3,4","2,8",1,"31,7","31,5","2,5"
Jama u Birbovoj dragi,4,3,1,,1001,293
Golubinka pod Velikim vrhom Boraje,8,8,1,78,10,78
Špilja kod špilje kod Jaruge,1,1,1,,7,4
Neprijatelji,"1,2","0,7",1,7,7,1
Panjeva jama,2,6,1,,10,13
Jarčanj na uglu od Velikog Desajduba,"2,2",4,1,,"2,7",5
Putarica,"0,5","0,5",1,42,7,39
Jama iznad Striginih dolina,1,3,1,17,6,16
"Zimina jama SG 7,24","1,5",1,1,,12,16
KV1,2,1,1,15,6,13
Faremo,1,"0,8",1,21,18,14
Jama u stijeni,"0,8",4,1,20,16,12
Fortventi,"1,5",1,1,"52,3","23,9","35,3"
Jama s pogledom,20,10,1,,62,92
Bunker blizu uvale Perilo,4,2,1,41,32,1
Pećina Židna hižica 4,"3,5","2,2",1,,14,6
Bunar kod kote 270,2,"1,7",1,5,3,5
Ispod Priečkove,1,"0,5",1,22,8,20
Kolarska gora IV,"0,5","0,6",1,"7,9","1,8",7
Jama u Martićima,2,"4,5",1,25,22,11
Migy,3,2,1,14,8,9
Jama pod Tihovinje III,5,8,1,17,6,16
Jama u Velim Sapcima 1  ,"2,8","1,3",1,,5,"8,5"
Gnjusna jama,1,1,1,,39,16
Bunar jama kod Jelićevog stana,1,1,1,11,1,11
Kordička,"1,7",3,1,34,6,"28,5"
Adios,20,10,1,1969,1962,40
Bukovac,8,5,1,,136,2
Jama u vrtači,"1,6","0,5",1,,8,14
Puhova jama,25,50,1,,72,65
Jama na Kuželjevcu,5,6,1,,13,34
Rudnica VI,,,1,,,
Kolarska gora II,2,"2,5",1,"14,4","7,2","8,2"
Strguljin grad 2,2,4,1,,7,53
Veliki seronja,"6,3","6,5",1,153,29,139
Spilja kod Kordića Žumberačkih,"7,7",1,1,,17,1
Mašića jama,20,10,1,,53,70
Graba mira,"11,5",2,1,27,12,"21,5"
Kranceti K2,3,1,1,,5,34
Ne mora na ka,1,"0,7",1,196,65,154
Jovičina pećina,1,2,1,15,15,2
Jama prazne glave,"0,5","1,5",1,"16,9","6,7","12,9"
Šuplja čarapa,"1,2",5,1,21,14,9
Jama kod Krmarice,"0,4","0,4",1,"7,8","3,7","5,9"
Sljepica jama,"1,3",2,1,56,"35,1","27,7"
Gutačica,"0,8","0,3",1,"57,4","8,1","49,2"
Pogledalce,12,4,1,36,"16,5",22
Upad – jamica u Velim Sapcima ,2,"1,5",1,,"3,5",5
Pećina pod Brložnikom,15,4,1,,21,6
Tandemska špilja,"1,5",2,1,6,6,0
Ivankovača,7,2,1,21,20,10
Jama na Malom vrvu 2,"0,5","0,5",1,"5,3","3,5",5
Jama Šlapice,4,2,1,,116,282
Anina perspektiva,2,"2,5",1,26,9,22
Tončičova pećina,7,"2,5",1,,40,"4,5"
Kamenica 8,4,2,1,,8,0
Dijetalna,"0,7",2,1,"6,3","6,2","0,6"
Jama na Zubkovu dočiću ,1,"1,55",1,,25,76
Jametina,"1,5","0,7",1,,"17,5",11
Jama pod Goricom ,"1,5",2,1,,"6,5",7
Balvan revolucija ,4,5,1,17,"13,5",7
Tekući hodnik,1,1,1,8,8,0
Brgudac IX,5,3,1,14,10,10
Jama kraj Mikulića izvora,"0,8","0,5",1,"7,5","4,5","7,5"
Kaverna kod Šunjića,2,"0,7",1,21,18,8
Špilja ispod Kaluđerove,"4,5","2,5",1,8,8,0
Jama s velikom sigom,1,3,1,"14,6",13,9
Sklonište nad Vodicom,4,3,1,8,8,1
Čikita dimnjak,"0,8",1,1,24,14,0
Jama kod dva lješnjaka,5,8,1,88,24,47
Čelinjak,1,1,1,28,4,28
Stari ponor Matice lijevi,5,2,1,33,28,"8,5"
Jama SO SDK,"0,8","0,9",1,,30,36
Špilja Trojamica,,,1,20,25,8
Jama pod Jarebinjakom 3,1,"0,5",1,5,"0,5",5
Špilja pod Zimzelom,5,"2,7",1,,194,21
Vilina špilja-Izvor Omble,4,2,1,,3050,191
Kostelac Kr.,"2,5","1,5",1,,"7,5","13,5"
Pećina Škrbina,2,2,2,67,52,9
Zakičnica IX,"0,7","0,5",1,"6,5","3,6","5,3"
Kus,"5,4","2,5",1,,39,30
Pećina u željezničkoj stanici Gornje Dubrave,1,2,1,,11,0
Ponor na Bunovcu,4,5,1,,432,534
Jama iznad Luške špilje,6,15,1,"48,6",41,"19,6"
Kobizon,1,2,1,,53,59
Brokeback,3,5,1,65,15,53
Zavižanka,"1,8","3,2",1,107,45,68
Crikvena 3,4,8,1,108,50,40
Pod Šemičem,"1,3",1,1,48,,1
Tisuću mušica,"3,4",2,1,"31,5",30,"0,6"
Šumsko srce,"2,5","1,5",1,42,11,39
Sunčana,"1,5","1,5",1,"28,3","19,2","11,8"
Jama u Lozici,2,"0,9",1,11,5,7
Lištrovica,,,1,,,
Golubinka Derala,2,8,1,"39,8","19,5",26
Kaverna C1,8,3,1,110,68,"42,5"
Ponistra,"1,9","3,3",1,8,"5,5",4
Kojna špilja,5,3,1,60,55,8
Ostojića golubinka,20,15,1,65,40,30
Sačekuša,1,2,1,"17,2",5,14
Chrisov bezdan,"4,4","2,75",1,,"26,5",21
Jama Dama,1,"1,6",1,19,"5,5",17
B11,"0,5","0,5",1,"15,1","6,2","10,5"
Japagina 3,10,8,1,,29,72
Propuh,4,2,1,,19,0
Dobrica,"0,5",1,1,5,"4,9",0
Jama Baredine,10,8,1,,150,132
Katedrala,15,3,1,87,85,15
Jama Velehov,"2,2","3,3",1,"38,9","11,7",32
Ključna jama,3,4,1,22,8,"18,5"
Špilja u gredi nad Sarančom,2,5,1,14,14,0
Dvostruka - A,7,"1,8",1,"12,7","9,7","1,2"
Znetva Pištavac,16,12,1,,17,29
Jama pod Velim krugom,2,4,1,"39,2","32,7","13,3"
Fratarska garma,,,1,,,
Vještičja jama,8,6,1,,37,"133,5"
Mustafka,,"1,2",1,"6,1","5,1",0
Jama na pukotini,3,1,1,20,7,18
Karbonara,"1,5","0,8",1,"31,4","18,4","19,7"
Jama iznad uvale Velika Ropotnica,,,1,,,
Jama pod Smrekovcem,10,10,1,169,38,133
Medna muha,1,"2,5",1,"16,6","10,6","9,2"
Zelenje,19,9,1,23,10,23
Jama na Lazarovom,1,3,1,,11,25
Spilja pod Kaličakom,"2,5","3,5",1,,50,43
Jama iza ugla,3,2,1,,17,13
Jama špilja,2,3,1,11,4,9
Kaverna tunel na Drenovi,1,1,1,84,72,10
Gavranova jama,8,2,1,348,227,101
Grgina jama,1,"1,5",1,40,29,24
Kava,"0,8","0,5",1,,57,7
Bikovica,4,2,1,38,35,10
Jama u vali Kraljevica,"0,3","0,5",1,28,7,"22,5"
Galicara,"10,3","1,5",1,20,13,20
Bezdana u Novom selu,1,"0,5",1,,47,38
Golubinka iznad Zavale,3,1,1,,12,"51,4"
Šiljata jama,3,"2,5",1,"12,8","7,2","12,8"
Međeđe,9,"5,5",1,15,15,"5,5"
Črvonjec,"0,5","1,5",1,12,"4,5",12
Dimnjak,"0,8","0,7",1,"11,1","5,9","2,1"
Bolek i Lolek,4,"0,7",1,13,12,2
Lavina,2,5,1,83,"45,5",41
Mračna pećina,23,"8,6",1,173,"168,2",8
Ponoćna premijera,"0,5","1,5",1,"18,1",11,"8,5"
Divokozina katedrala,13,"2,5",1,200,75,144
Špilja pod košnicom,"2,5",3,1,5,5,0
Jama u vali Drebišnjak,"1,8",2,1,72,8,70
Vodena peća,3,15,1,713,596,132
Špilja kod Bezdanke ,1,2,1,10,10,0
Jama kod Stare Sušice,"0,7","0,8",1,65,31,42
Vranjasavica,1,"0,8",1,"5,1",5,"0,5"
Potok jama,1,"0,7",1,,4,"5,5"
Plosnata špilja,2,"1,3",1,,6,"2,5"
Kopila 1,2,3,1,15,11,7
Ledenica pod Jabukovcem,15,10,1,"176,3","108,1","46,8"
Špilja pod slojevima,"0,9","0,5",1,19,13,6
Geni geni Koreni,14,6,1,32,14,25
Polupećina Debela sten 5,3,"5,5",1,,5,0
Jubilarna jama,2,4,1,48,10,38
Špilja u Staroj Kršlji,,,1,,77,4
Sonjina i Mandina jama,1,3,1,394,152,"91,6"
Špilja jelena,3,"2,5",1,19,18,0
Nepristupačna,"0,8",2,1,39,10,36
Nevidjela,"6,5",1,1,18,11,13
Koncertna jama,5,8,1,36,23,12
Dobra Kob,5,3,1,"36,8",13,26
Jurova jama,"1,6",4,1,35,20,19
Jama Hahlić,4,6,1,27,8,21
Japagina 2,5,2,1,,35,61
Bombica,"1,5","1,5",1,,5,17
Špilja kod kompresorske stanice brodogradilišta Viktor Lenac,2,"1,5",1,9,9,0
Kaverna uz cestu iznad Gromače,"0,7",1,1,,6,4
Sanjina jama,2,3,1,"24,8",21,12
Krštinica,4,"1,5",1,67,26,"49,5"
Pećina kod Petranović Drage,11,15,1,65,47,0
Intrigatna djevica,1,"0,8",1,20,7,18
Miljacka 7,"13,5","2,5",1,9,9,2
Zatkarska jama,4,6,1,24,15,11
Medina tuga,"8,4","6,2",1,64,"20,5","56,5"
Vrtložna jama,"0,5","1,5",1,,45,15
Strguljin grad 4,"0,5",1,1,,10,42
NKVJ01,5,2,1,25,18,8
Pećina kod planinarske kuće Pavlovac,,,1,,,
Jama na budalu,"0,5",1,1,"12,5","9,2","7,6"
Odlagalište drva,2,"2,7",1,"6,5",5,"3,5"
Nikolićeva pećina,4,"3,5",1,47,46,7
Kosino srce,"9,3","8,5",1,"15,5",41,"36,5"
Pećina na Čakovcu,"0,6","0,7",1,241,167,34
Carevica,8,5,1,"81,3",12,"77,4"
Jambrišakovo vrelo,"0,8","1,5",1,"6,2","6,2","0,2"
Jama kod cera,3,2,1,,31,21
Jama na Bibnovcu,1,1,1,,16,17
Ovčarica,,,1,,,
Vitrenice,2,4,1,16,10,15
Mala jama na Velikom bostanu,"2,5",2,1,10,6,1
Antina špilja,2,"1,5",1,,24,"1,7"
Donja Barićeva špilja,5,"1,2",1,,26,"3,5"
Abrina,5,2,1,5,5,0
Jama na Prevlaci,9,"9,5",1,11,10,10
Perina jama,"8,7","7,6",1,105,29,89
Kotrljajuća jama,2,"3,5",1,86,22,44
Jama na Balunu,2,5,1,8,4,0
Modra špilja,,,1,,,
Jurjeva draga,6,4,1,61,43,27
Jama kod Golubinke kod Ruminih vrtli,4,4,1,13,5,13
Zala 1 ,2,"1,5",1,"17,8","2,8","12,6"
Crna pijavica,"0,5",2,1,23,8,16
Ziraldova jama 2,"0,7","0,5",1,"8,5",6,9
Jama Stonehenge,4,3,1,,102,54
Jama iznad Winnetoua,7,"2,2",1,14,13,6
Otkrivena iz zraka,"2,9",3,1,"34,5","22,5","20,5"
Ponor na Cimerplacu,,,1,,,
Onofrijeva jama u Malom jezeru ,12,23,1,,16,21
Kruna mog života,5,2,1,"18,1","4,8","15,3"
Ricina spila,3,2,1,"37,8",29,"21,2"
Bezimenka,"1,2","0,8",1,"26,5",15,"12,3"
Artićeva,3,2,1,"10,5","10,3","0,5"
Cukovčica,2,"1,5",1,"7,4","6,6","3,3"
Stupina jama,2,3,1,625,251,413
Previđena,1,1,1,16,12,"9,5"
Bršljonka,"1,6","1,6",1,48,"41,5",22
Eko špilja,4,"0,5",1,,40,"9,5"
Špilja pod Bilim kukom,5,"0,7",1,17,16,7
Jama kod volovskog puta,3,1,1,"12,2","5,6","10,6"
Koranska pećina,2,"8,5",1,"11,5","10,5",0
Pećina pod Veliki vrh,"6,5","1,2",1,8,6,1
Špilja Draževica,5,"2,5",1,25,22,12
TA špilja,"1,5",2,1,30,30,8
Profundača,12,4,1,31,25,20
Jama na Kamenjaku,1,3,1,134,40,80
Keglja,1,2,1,"6,3","6,2",0
Jama poli Krušvića,2,"3,5",1,,17,103
Jama kod križanja za Pokrovnik,1,1,1,45,13,38
Vrulje,3,"1,2",1,460,431,17
Niš'niš',5,4,1,,43,"77,5"
Ilijina jama,5,3,1,"18,9","9,5","13,9"
Spilja Dovrtačasta,"0,5",4,1,"6,3",6,"1,2"
Kraljevska jama na Gulišini,"3,5",2,1,,121,142
Led 1,,,1,,,
Jelina pećina,"3,3",2,1,,16,3
Kaverna Škurinje 4,1,"0,7",1,"8,7","4,6","5,5"
Markotića buža,"0,4","0,6",1,"6,6","0,7","6,5"
Druška peć,,,1,,,
Jama na Maloj tratini,"0,6",1,1,,4,11
Kaverna 167_Tunel Konavosko polje- more,"0,5",1,1,12,9,0
Voda Kapaljka pod Bačić kukom,"2,5","1,5",1,14,12,0
Pećinica Jamurina,"4,6","1,8",1,"5,2",5,1
Jama šatro sustav ,3,"1,5",1,"28,5","10,5","23,5"
Pivska guza,2,3,1,"21,8",11,17
Visoka pećina,1,10,1,,"14,5","9,2"
Pećina na padinama Matakova brda,7,3,1,,"26,4",11
Digitalni slap,"7,5",1,1,"85,5",49,49
Minjarola,4,"1,5",1,"21,2","18,5",4
Poderane gaće,"0,8",2,1,10,9,1
Mala špilja kod crkve,"2,6","0,8",1,"5,9","5,7","1,4"
Golubnjača pod Sjenicom,2,5,1,51,40,32
Jama ispod Belec grada,"0,5","0,5",1,,"3,7","8,1"
Ledena jama u Lomskoj dulibi,,,1,,,
Jama iznad Blizne,"2,1","2,8",1,12,6,9
Skelinova špilja,11,7,1,,21,4
Jama kod Puležanskog dolca,2,"1,6",1,,7,16
Jama kod starog mlina,"1,2","0,5",1,,21,19
Čavkina jama,8,4,1,38,13,33
Vrelo,,,1,,,
Slimey 105,6,4,1,162,48,105
Mala golubinka,"1,9","1,9",1,47,23,25
Skriveni prolaz,6,7,1,"31,6","16,5","15,5"
Vudna jama,"4,8",3,1,20,"19,2","4,5"
Kanedo,2,1,1,"19,7","12,6","10,9"
Čabrakadabra,2,1,1,167,70,134
Giletova jama,1,2,1,"15,5","1,6","15,4"
Jama na Plase,"0,8","0,8",1,"8,5",4,7
Šušnjara,"3,5","2,5",1,,19,11
Bezdana jama iznad uvale Zaglav,"1,9","1,1",1,50,24,30
Jama za Trišćenicu,7,"2,5",1,67,50,18
Jama iznad Skaramuča,"0,9","2,8",1,"21,6","4,1","19,8"
Špilja u Hajdučkoj drazi,10,3,1,,21,1
Didovača,"25,8",8,1,36,24,19
Zvončica,4,16,1,88,14,74
Drenovka,"0,5",1,1,"5,3","5,2",0
Vranje Garme,15,10,1,,18,2
Ponor Bregi,,,1,,,
Svađalica,,,1,,,
Čudina peć,,,1,,,
Crno jezero,"4,5","1,5",1,"238,5","195,5","94,5"
Špilja kod mlina babe Milane,4,5,1,,"20,3",0
Hušnjakovo,,,1,,,
Begova cisterna,2,3,1,43,19,28
Čelar,,,1,,,
Jama Vendeta,2,3,1,,6,5
Dumenčića špilja,6,3,1,,67,25
PT 4,3,1,1,20,8,17
Jama u trepetljikama,,,1,,,
Gizmotova,10,"1,5",1,115,92,44
Špilja Maljević,"0,8",1,1,7,7,2
Jama kod Tučepske vilenjače,7,2,1,,6,"10,2"
Jama ispod Licimurke,"2,5","1,7",1,,22,"13,5"
Špilja pod Prevajom,"0,5","0,6",1,"5,1","5,1","0,4"
Rođendanska,15,16,1,"144,8",80,95
Mimikrija,"0,4","0,7",1,7,2,7
Jama u Šodinom masliniku,"1,6","0,7",1,44,11,41
Vranjačka špilja,,,1,,,
Kriva špilja,"0,5","0,5",1,6,"5,5",2
Tri mušketira,"0,8","1,2",1,"9,6","3,3",9
Jama pored metka,1,1,1,,6,"12,5"
Drveničanka,,,1,,,
Brkljačeva pećina 2,"2,5",1,1,"10,9","10,5","1,23"
Vrtlina,30,25,1,,850,195
Bobaj II,7,2,1,,10,21
Rambo,5,2,1,45,"10,9",38
Jama pod Pij,1,1,1,37,37,18
špilja Perina vreća,4,1,1,15,15,14
Jama kod žute točke,"0,3","0,3",1,10,9,8
Jama na gredi,15,5,1,,40,"82,5"
Sustav Zračak nade II - Kaverna u tunelu Učka,,,1,,,
Kašogijeva jama,,,1,,,
A kome se to da,"1,7",3,1,11,5,"8,7"
Poljanak,4,1,1,53,20,30
Zubanova jama,4,5,1,189,87,88
Novogodišnja jama,"2,8","4,5",1,"31,1","10,2","20,9"
Panđinovac,26,10,1,14,13,0
Jakasova spila,1,"1,3",1,,94,18
Krovna jama,10,6,1,"15,7",8,14
Jama u Zajamju,"1,8","3,5",1,26,"7,5",20
Let dvije sove,"2,5",2,1,"5,1","5,1","0,8"
Mala jama na Tornju,"2,5",1,1,401,123,225
Torrotan,3,3,1,41,13,33
Možda ipak shunt,"0,5",2,1,"29,3",9,"23,6"
Jasenova glavica 2,2,4,1,18,14,12
Ostaševica ,6,5,1,,70,20
Šajnovica,2,"1,5",1,100,37,62
Banjinska peć,3,1,1,,21,6
Škrta dama,4,3,1,"137,5",41,121
Špilja potok,2,"2,2",1,27,25,0
Čorkica,"2,9","2,1",1,"5,4","0,3","5,4"
Jama kod Grdića,2,2,1,,7,13
Špilja s branom,"4,5","2,3",1,11,"10,8","0,5"
Vučja gozba,2,1,1,"13,4",10,6
Odmor špilja,3,8,1,"21,2","18,7",8
Špilja u Gvozdacu,2,"3,5",1,,50,12
Jama Cvjetana Barbića,1,"0,5",1,,"5,5","6,5"
Medina pećina,7,6,1,"528,1","496,5","32,6"
Jupi Jama,1,1,1,7,1,7
Znetva Spašenac,"0,9","0,7",1,,9,12
Špilja kod Orašačkog mola 2,4,5,1,,20,1
Crikvena 9,1,1,1,125,45,"91,5"
Rafova špilja,"7,5","12,5",1,,59,0
Terca,6,4,1,,137,92
Rogovac,9,3,1,,98,0
Borušnjak 3,4,2,1,,42,16
Dno dna,5,10,1,"11,7","5,8","11,7"
Roko Sokolovo,1,"0,3",1,6,2,5
Gabrića pećina,9,4,1,17,17,0
Piričevica,6,"7,5",1,"29,5",23,31
Lu,"1,5","2,5",1,"6,5",2,6
Jama na Gušte,5,8,1,96,28,83
Medina buksa,"1,9","1,7",1,"7,5","7,2","1,9"
Ovčji dom u uvali Seline,3,2,1,8,"7,5","1,5"
Protutenkovska jama u Lijeskovim dragama,7,22,1,28,8,19
Jama pored špilje Jadnice,2,"3,5",1,14,8,"12,5"
Pucikova jama,,,1,,,
Ponir,4,5,1,94,75,46
Frankina jama,3,6,1,332,"117,8","95,8"
Zečja jama 2,4,4,1,"8,5","5,5",8
Duman,,,1,,,
Špilja 1. na Brdskoj gori,1,2,1,,23,14
Jama pod Čerites,"0,3","0,4",1,40,16,31
Špilja od Punta,1,1,1,29,21,7
Crvena gljiva,2,3,1,"12,7",8,"10,7"
Na-Kovana jama,"0,5",1,1,39,15,"32,5"
Jama iznad Bosnića ponora,13,"4,5",1,,24,"28,1"
Rupa,2,1,1,35,34,0
Puhova špilja,2,"2,5",1,10,9,"3,4"
Znetva na Velikom Lomniku,"1,6","0,5",1,,15,16
Rogozno,2,4,1,,20,0
Mala Tounjčica,5,"2,5",1,,68,0
Male ponte ,1,"1,5",1,,106,"28,8"
Pećina u Dubravi,20,8,1,,20,12
Benova jama,,,1,,,
Snižnica pred Dulibicom,14,21,1,,"30,2",21
Divna špilja,2,3,1,"23,2","20,5",0
Špilja u Štropovima,"1,1","1,6",1,"5,9","5,7","1,6"
Horvatova špilja,4,6,1,,46,17
Špilja ispod Griča u Badnju II,"1,5",1,1,,11,1
Jazbina,"1,5","1,2",1,"7,5",7,"0,5"
Drvena jama,9,4,1,41,19,"19,5"
Špejarka,2,3,1,,"40,6","17,3"
Polića jama,"0,5","0,5",1,16,10,8
Jožina ulazna zamka,1,"0,5",1,24,"4,5",22
Kratke Gače,4,10,1,35,33,22
Špekovina,"13,5","13,8",1,"16,3",5,"15,5"
Minđalovka,1,1,1,14,7,"9,7"
Ovčica,"0,6",1,1,387,17,379
Lažipaukova jama,"1,2",7,1,,10,"6,5"
Jama nad Finide,2,9,1,19,8,11
Zlatna poluga,"2,5",3,1,,10,22
Špiljica pri izvorištu Krke,"1,5","0,8",1,18,18,0
Uporna jama,,,1,,,
Zapalača,"2,3","0,9",1,,5,10
Jama uz vlaku,"0,9","0,8",1,,2,7
Ilića pećina,"2,4","1,5",1,"47,5","33,6","8,2"
Mala poviše leda,"1,2","2,8",1,"9,5","2,2","9,2"
Gavranova jama,,,1,,,
Šantanjika,4,4,1,"65,2",13,"50,5"
Pećina Križanjovica,"4,5","3,3",1,32,28,"8,5"
Jama D Pariškeks,2,4,1,102,41,83
Jama u Repčovici,9,5,1,11,9,"7,5"
Jama pod Jasikovcem,3,4,1,38,9,33
Maćeha pećina,7,4,1,,82,8
Korušina,"0,5",1,1,11,7,5
Ivanića bezdanica,"5,5","4,2",1,"62,5",10,58
Jama na Promini,7,"3,5",1,14,6,14
Zala,5,3,1,,366,10
Feroroše,5,8,1,13,7,"8,2"
Aščinka,2,2,1,,24,21
Dundovka,12,10,1,"19,5",14,"13,5"
Prva jama,2,1,1,"19,2","8,4",10
Zver,"2,5","2,5",1,"48,1",38,"20,23"
Špilja Modrič,"1,3","1,6",1,816,775,"2,5"
Stare sige,"1,3","0,8",1,5,"4,8",1
Srednja jama nad zip lineom,1,"1,2",1,17,9,14
"SG 6,24",5,"1,5",1,,6,"7,3"
Jamica u Praprotnoj dragi,8,4,1,,6,15
Velika špilja na Bukovcima,,,1,,,
Stupova Glava,4,4,1,,5,"19,5"
Pušina,"0,75","0,5",1,,328,56
Jama ispod Zoljinog kuka,,,1,17,17,"10,2"
Mačji kašalj,15,20,1,,75,182
Jama Kopar,"6,5",4,1,,8,13
Jama pod Križ ,1,"1,4",1,,30,9
Špilja u Lužnama,10,5,1,,210,63
Radohina,"2,1","1,1",1,"18,5","18,5",0
Dakina jama,4,"2,5",1,,12,36
Špajza,"1,5",1,1,13,10,9
Jama pod vrhom Tihovinje ,"0,3","0,5",1,50,42,28
Štrumfić,"17,5",8,1,28,19,"17,9"
Jama pod Velim vrhom,"0,5","0,7",1,7,"4,7","3,5"
Špilja Ograda kod Pećatove ljuti,"2,2","0,6",1,20,18,9
Špilja na Gravištu,"1,5","1,5",1,"12,5","12,3",0
Trojama,3,7,1,55,10,48
Soba s pogledom,2,2,1,"64,7","47,5","9,2"
Jama pored Pepelarice 1,"1,8",3,1,"25,3",16,"13,5"
Vrtača pušak svijeta i jama Opušak,1,1,1,,11,27
Lapina jama,"2,5",5,1,30,24,13
Špilja za četvero,"0,8","0,5",1,"8,6","7,9","3,3"
Moja jama,12,15,1,,30,130
Prstac,26,23,1,"52,9",35,17
Špilja kod auta,2,3,1,"20,5","17,5","10,5"
Jama u Špejarovim Lugovima 5,1,"0,5",1,8,4,7
Uragan-studnia mlodych,5,25,1,204,30,167
Špilja kod Fratrovaca,17,5,1,45,53,16
Čađina golubinka,9,8,1,65,40,37
Izlazak,"0,5",1,1,"8,5","2,4",8
Kornić 1,"0,5",1,1,11,11,"10,5"
Jama Uskršnji ponedjeljak,8,"3,5",1,14,5,11
Radoznalka,"1,8","1,5",1,12,9,12
Špilja Orhideja,"0,5","0,5",1,6,"5,6",0
Tabaina špilja,1,1,1,,16,4
Kičma,15,11,1,"26,5","9,5",21
Pećina Denisov meandar,"0,3","0,5",1,,8,"4,5"
Dvogača,"0,5","0,5",1,11,4,9
Jasenova špilja,2,2,1,,20,14
Lidar 9,6,6,1,14,4,10
Čavkina jama,"1,2",2,1,29,3,29
Poreduša 2,"0,9",1,1,16,11,5
Pištolin golić 2,"0,5","2,4",1,"5,2","6,3","3,6"
Ančića mala Golubinka,1,2,1,"10,3",3,"7,3"
Jama u Drenovom dolu,"0,5",1,1,9,5,7
Jama kod Tuka,"4,5",2,1,"21,9","8,1","17,8"
Velika pećina kod Kuneli,11,"1,8",1,17,16,1
