sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature;deepest air temperature;média temperature
1936;Jama iznad Sarana?a;Croatia;25.3.2003.;2003-03-25;1 f;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;770;43 249 007;17 174 663;Tb;deep cave;4 324 900 717 174 660;7;;10,8;10,025
1936;Jama iznad Sarana?a;Croatia;25.3.2003.;2003-03-25;1 f;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;770;43 249 007;17 174 663;Tb;deep cave;4 324 900 717 174 660;7;;;12,2
1937;Spila 2;Croatia;23.3.2004.;2004-03-23;1f?, 1 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;516;4 326 239;17 204 021;Tb;deep cave;432 623 917 204 021;6;;12;12
1938;Mala jama u stijenama;Croatia;20.3.2003.;2003-03-20;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;1115;43 365 579;17 027 668;;;4 336 557 917 027 660;3;;9,3;9,3
1939;Mala špilja kod Antunovi?a;Croatia;26.6.2002.;2002-06-26;3 juv;3;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;708;4 327 698;17 226 992;Tb;deep cave;432 769 817 226 992;1;;;
1940;Velika špilja kod Antunovi?a;Croatia;23.3.2004.;2004-03-23;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;700;43 276 843;17 227 143;Tb;deep cave;4 327 684 317 227 140;1;;11,9;12,1
1941;Jamina, Biokovo;Croatia;26.10.2006.;2006-10-26;1juvm, 1 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;43 386 358;16 925 277;Tb;deep cave;4 338 635 816 925 270;4;;;
1942;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juvm;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;;9,967
1942;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juvm;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;;11,2
1942;Tu?epska vilenja?a;Croatia;23.5.2004.;2004-05-23;1 juvm;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;1181;43 286 465;17 083 638;Tb;deep cave;4 328 646 517 083 630;8;;10,6;11,025
1943;Jamina, Biokovo;Croatia;24.3.2004.;2004-03-24;1 juv m, 1 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;43 386 358;16 925 277;Tb;deep cave;4 338 635 816 925 270;4;;;
1944;Kamenolom u Bastu;Croatia;11.10.2003.;2003-10-11;1 m;1;Dysderidae;Dysdera;sp. 2;Dysdera sp. 2;;43 361 995;1 697 845;;;433 619 951 697 845;1;;;
1946;Mala špilja pod Spilom;Croatia;5.12.2009.;2009-12-05;2 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;43 262 462;17 200 927;Tb;deep cave;4 326 246 217 200 920;2;;;11
1948;Ogra?ena špilja pod Sv. Jurom;Croatia;21.6.2003.;2003-06-21;1juvm;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;43 348 504;17 051 475;;;4 334 850 417 051 470;2;;;
1950;Jama na Ka?koj glavici 3;Croatia;18.6.2003.;2003-06-18;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;1107;43 368 677;17 032 184;;;4 336 867 717 032 180;1;;5;4,75
1951;Jamina, Biokovo;Croatia;26.10.2006.;2006-10-26;2 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;43 386 358;16 925 277;Tb;deep cave;4 338 635 816 925 270;4;;;
1952;Špilja u Nevistinim stinama;Croatia;22.3.2003.;2003-03-22;2 juv;2;Dysderidae;Harpactea;sp.;Harpactea sp.;545;4 338 269;16 942 238;;;433 826 916 942 238;1;;;
1954;Kukor;Croatia;26.4.2002.;2002-04-26;1m;1;Dysderidae;Harpactea;damini;Harpactea damini;425;43 355 609;16 991 707;TF;deep cave;4 335 560 916 991 700;10;;;15,4
1955;Spila 2;Croatia;26.3.2003.;2003-03-26;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;516;4 326 239;17 204 021;Tb;deep cave;432 623 917 204 021;6;;12;12
1956;Gradska spila;Croatia;19.11.2005.;2005-11-19;1f;1;Dysderidae;Harpactea;damini;Harpactea damini;755;43 318 029;17 117 623;TF;deep cave;4 331 802 917 117 620;4;;;6,6
1957;Kukor;Croatia;17.8.2000.;2000-08-17;2/3f, 1/2juv;3;Dysderidae;Harpactea;sp. 34;Harpactea sp. 34;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1958;Kukor;Croatia;28.7.2006.;2006-07-28;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1959;Kukor;Croatia;26.8.1998.;1998-08-26;1juvm, 2 juv;3;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1960;Drinova;Croatia;22.3.2003.;2003-03-22;1 juv;1;Dysderidae;Dysdera;sp.;Dysdera sp.;;43 357 899;17 112 462;Tx;epigean habitat;4 335 789 917 112 460;1;;;
1961;Velika špilja kod Antunovi?a;Croatia;29.11.2009.;2009-11-29;2 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;700;43 276 843;17 227 143;Tb;deep cave;4 327 684 317 227 140;1;;11,9;12,1
1962;Jamina, Biokovo;Croatia;24.3.2004.;2004-03-24;2 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;43 386 358;16 925 277;Tb;deep cave;4 338 635 816 925 270;4;;;
1963;Jama iznad Prozor?i?a;Croatia;24.3.2004.;2004-03-24;1 f;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;4 338 381;16 932 036;Tb;deep cave;433 838 116 932 036;5;;12,5;8,9
1964;Obilježena jama;Croatia;20.6.2003.;2003-06-20;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;4 336 813;17 026 024;;;433 681 317 026 024;2;;2,5;2,5
1965;Bubnjava?a špilja;Croatia;27.10.2006.;2006-10-27;1f;1;Dysderidae;Harpactea;damini;Harpactea damini;;4 332 252;17 009 954;TF;deep cave;433 225 217 009 954;2;;16,8;16
1965;Bubnjava?a špilja;Croatia;27.10.2006.;2006-10-27;1f;1;Dysderidae;Harpactea;damini;Harpactea damini;;4 332 252;17 009 954;TF;deep cave;433 225 217 009 954;2;;;17
1966;Kukor;Croatia;23.9.1999.;1999-09-23;2 juv;2;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1967;Jama na Saran?u;Croatia;25.3.2003.;2003-03-25;1f;1;Dysderidae;Harpactea;mateparlovi;Harpactea mateparlovi;;43 247 108;17 176 093;Tf;deep cave;4 324 710 817 176 090;4;;;
1968;Kukor;Croatia;27.7.2004.;2004-07-27;2 juv;2;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1969;Polušpilja iza ku?e u Bastu;Croatia;18.8.1998.;1998-08-18;1 juv m;1;Dysderidae;Dysdera;sp.;Dysdera sp.;285;43 354 924;16 982 503;Tx;;4 335 492 416 982 500;3;;;
1971;Mala špilja kod Antunovi?a;Croatia;29.11.2009.;2009-11-29;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;708;4 327 698;17 226 992;Tb;deep cave;432 769 817 226 992;1;;;
1972;Poskokova rupa;Croatia;25.5.2004.;2004-05-25;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;633;43 318 607;17 119 945;;;4 331 860 717 119 940;2;;;
1973;Samogorska špilja;Croatia;25.5.2004.;2004-05-25;1f;1;Dysderidae;Harpactea;damini;Harpactea damini;717;43 318 227;17 121 122;TF;deep cave;4 331 822 717 121 120;6;;;13,1
1973;Samogorska špilja;Croatia;25.5.2004.;2004-05-25;1f;1;Dysderidae;Harpactea;damini;Harpactea damini;717;43 318 227;17 121 122;TF;deep cave;4 331 822 717 121 120;6;;7,1;4,967
1974;Jama na putu za Staru školu;Croatia;27.6.2002.;2002-06-27;1 juv;1;Agelenidae;Histopona;sp.;Histopona sp.;1465;43 337 777;17 043 231;;deep cave;4 333 777 717 043 230;1;;8;8
1975;Meduza;Croatia;8.8.2003.;2003-08-08;1f;1;Dysderidae;Gen. 1;sp. 1;Gen. 1 sp. 1;1600;4 476 237;14 987 194;Tb;deep cave;447 623 714 987 194;1;;;
1976;Krjava 2;Croatia;24.3.2004.;2004-03-24;1 f;1;Dysderidae;Mesostalita;comottii;Mesostalita comottii;903;43 329 431;17 027 011;Tb;deep cave;4 332 943 117 027 010;3;;;7,425
1979;Jamina, Biokovo;Croatia;28.10.2004.;2004-10-28;2 juv;2;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;43 386 358;16 925 277;Tb;deep cave;4 338 635 816 925 270;4;;;
1980;Velika špilja kod Antunovi?a;Croatia;29.11.2009.;2009-11-29;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;700;43 276 843;17 227 143;Tb;deep cave;4 327 684 317 227 140;1;;11,9;12,1
1981;Samogorska špilja;Croatia;25.5.2005.;2005-05-25;2 juv;2;Dysderidae;Harpactea;sp.;Harpactea sp.;717;43 318 227;17 121 122;;;4 331 822 717 121 120;6;;;13,1
1981;Samogorska špilja;Croatia;25.5.2005.;2005-05-25;2 juv;2;Dysderidae;Harpactea;sp.;Harpactea sp.;717;43 318 227;17 121 122;;;4 331 822 717 121 120;6;;7,1;4,967
1982;Pozjata špilja;Croatia;26.10.2003.;2003-10-26;1 f;1;Dysderidae;Harpactea;sp. 34;Harpactea sp. 34;1435;43 387 837;16 963 748;;;4 338 783 716 963 740;3;;;7,85
1983;Muci?a ledenica;Croatia;24.5.2004.;2004-05-24;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;1250;4 335 632;17 051 544;;;433 563 217 051 544;3;;0,8;0,8
1984;Mala špilja kod Antunovi?a;Croatia;5.12.2009.;2009-12-05;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;708;4 327 698;17 226 992;Tb;deep cave;432 769 817 226 992;1;;;
1985;Jama iznad Prozor?i?a;Croatia;26.10.2006.;2006-10-26;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;617;4 338 381;16 932 036;Tb;deep cave;433 838 116 932 036;5;;12,5;8,9
1986;Kukor;Croatia;25.3.2004.;2004-03-25;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1987;Kukor;Croatia;29.12.1997.;1997-12-29;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
1989;Ogra?ena špilja pod Sv. Jurom;Croatia;21.6.2003.;2003-06-21;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;43 348 504;17 051 475;;;4 334 850 417 051 470;2;;;
1991;Baba;Croatia;25.6.2002.;2002-06-25;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;43 256 469;17 162 283;;;4 325 646 917 162 280;4;;;
1992;Drinova 2;Croatia;14.11.2003.;2003-11-14;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;725;43 407 702;16 942 899;Tb;deep cave;4 340 770 216 942 890;3;;;
1993;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;5f, 1m;6;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;440;43 382 476;17 040 666;;deep cave;4 338 247 617 040 660;7;;10,6;10,6
1993;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;5f, 1m;6;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;440;43 382 476;17 040 666;;deep cave;4 338 247 617 040 660;7;;;11,05
1995;Jama iznad Prozor?i?a;Croatia;24.3.2004.;2004-03-24;1 m;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;617;4 338 381;16 932 036;;deep cave;433 838 116 932 036;5;;12,5;8,9
1996;Jama u ?ikešima;Croatia;23.11.2005.;2005-11-23;1 m;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;200;43 416 092;16 967 015;;deep cave;4 341 609 216 967 010;1;;;12,4
1997;Polušpilja iza ku?e u Bastu;Croatia;18.8.1998.;1998-08-18;2 f;2;Pholcidae;Pholcus;phalangioides;Pholcus phalangioides;285;43 354 924;16 982 503;;cave entrance;4 335 492 416 982 500;3;;;
1998;Jama iznad Sarana?a;Croatia;25.3.2003.;2003-03-25;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;770;43 249 007;17 174 663;;deep cave;4 324 900 717 174 660;7;;10,8;10,025
1998;Jama iznad Sarana?a;Croatia;25.3.2003.;2003-03-25;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;770;43 249 007;17 174 663;;deep cave;4 324 900 717 174 660;7;;;12,2
1999;Jujnovi?a špilja;Croatia;27.4.2002.;2002-04-27;1m, 1 juv;2;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;405;43 266 579;1 719 798;;deep cave;432 665 791 719 798;6;;;10,35
1999;Jujnovi?a špilja;Croatia;27.4.2002.;2002-04-27;1m, 1 juv;2;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;405;43 266 579;1 719 798;;deep cave;432 665 791 719 798;6;;13,8;11,35
2000;Brikinjava špilja;Croatia;17.11.2005.;2005-11-17;1f, 1 juv;2;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;740;43 345 181;17 096 904;;deep cave;4 334 518 117 096 900;3;;;5,533
2001;Jama kod Tu?epske vilenja?e;Croatia;17.6.2002.;2002-06-17;2f, 1m, 1 juv;4;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;1195;43 284 718;17 085 044;;deep cave;4 328 471 817 085 040;1;;;
2003;Nikolina špilja;Croatia;23.3.2003.;2003-03-23;2m, 1 f;3;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;250;434 253;168 271;;deep cave;434 253 168 271;1;;;
2005;Raputinova špilja;Croatia;24.11.2005.;2005-11-24;1 m;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;360;4 338 645;17 019 868;;deep cave;433 864 517 019 868;1;;;4,15
2006;Jujnovi?a špilja;Croatia;14.10.2002.;2002-10-14;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;405;43 266 579;1 719 798;;deep cave;432 665 791 719 798;6;;;10,35
2006;Jujnovi?a špilja;Croatia;14.10.2002.;2002-10-14;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;405;43 266 579;1 719 798;;deep cave;432 665 791 719 798;6;;13,8;11,35
2007;Mala špilja na Bukovcima;Croatia;21.11.2005.;2005-11-21;2m, 1 f;3;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;463;43 403 677;17 021 702;;deep cave;4 340 367 717 021 700;1;;;7,95
2009;Špilja u Radinovcima;Croatia;25.10.2006.;2006-10-25;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;400;43 387 285;170 103;;deep cave;43 387 285 170 103;4;;;8,3
2009;Špilja u Radinovcima;Croatia;25.10.2006.;2006-10-25;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;400;43 387 285;170 103;;deep cave;43 387 285 170 103;4;;;8,75
2012;Svetica;Croatia;16.11.2005.;2005-11-16;1 f;1;Pholcidae;Stygopholcus;absoloni;Stygopholcus absoloni;300;43 401 143;16 894 548;;deep cave;4 340 114 316 894 540;5;;;
2013;Bužnja?a;Croatia;29.20.2003.;2003-20-29;1m;1;Pholcidae;Gen. 1;sp. 1;Gen. 1 sp. 1;860;43 370 414;16 958 245;;;4 337 041 416 958 240;2;;;
2027;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;10,6;10,6
2027;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;;11,05
2028;Baba;Croatia;16.10.2002.;2002-10-16;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 256 469;17 162 283;Tb;deep cave;4 325 646 917 162 280;4;;;
2029;Jujnovi?a špilja;Croatia;14.10.2002.;2002-10-14;1m, 1f;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;405;43 266 579;1 719 798;Tb;deep cave;432 665 791 719 798;6;;;10,35
2029;Jujnovi?a špilja;Croatia;14.10.2002.;2002-10-14;1m, 1f;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;405;43 266 579;1 719 798;Tb;deep cave;432 665 791 719 798;6;;13,8;11,35
2030;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;1f, 1 juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;10,6;10,6
2030;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;1f, 1 juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;;11,05
2031;Baba;Croatia;15.10.2002.;2002-10-15;3f;3;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 256 469;17 162 283;Tb;deep cave;4 325 646 917 162 280;4;;;
2032;Pružina špilja;Croatia;15.10.2002.;2002-10-15;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;519;43 394 238;17 058 713;Tb;deep cave;4 339 423 817 058 710;4;;;11,9
2033;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;2f, 2 juv;4;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;10,6;10,6
2033;Špilja u Gaju;Croatia;18.10.2002.;2002-10-18;2f, 2 juv;4;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;440;43 382 476;17 040 666;Tb;deep cave;4 338 247 617 040 660;7;;;11,05
2034;Jama na grebenu;Croatia;17.10.2002.;2002-10-17;2f, 1 juv m, 1 juv;4;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;4 325 927;17 147 834;Tb;deep cave;432 592 717 147 834;3;;10,8;10,8
2035;Ga?ina jama;Croatia;15.10.2002.;2002-10-15;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 401 743;17 058 436;Tb;deep cave;4 340 174 317 058 430;3;;;
2036;Špilja na Mrždolcu;Croatia;5.4.2006.;2006-04-05;1f, 1 juv;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;461;43 405 319;17 014 811;Tb;deep cave;4 340 531 917 014 810;3;;;7,5
2037;Bošak jama;Croatia;4.4.2006.;2006-04-04;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;739;43 347 996;17 100 045;Tb;deep cave;4 334 799 617 100 040;2;;;7,4
2038;Bošak jama;Croatia;4.4.2006.;2006-04-04;1 f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;739;43 347 996;17 100 045;Tb;deep cave;4 334 799 617 100 040;2;;;7,4
2039;Bošak jama;Croatia;17.11.2005.;2005-11-17;1f;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;739;43 347 996;17 100 045;Tb;deep cave;4 334 799 617 100 040;2;;;7,4
2040;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 250 417;17 113 278;Tb;deep cave;4 325 041 717 113 270;7;;;10,1
2040;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;1m;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;;43 250 417;17 113 278;Tb;deep cave;4 325 041 717 113 270;7;;;11,4
2041;Ga?ina jama;Croatia;15.10.2002.;2002-10-15;2m, 1 f;3;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 401 743;17 058 436;Tf;deep cave;4 340 174 317 058 430;3;;;
2042;Jama na grebenu;Croatia;15.10.2002.;2002-10-15;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;4 325 927;17 147 834;Tf;deep cave;432 592 717 147 834;3;;10,8;10,8
2043;Jama na grebenu;Croatia;15.10.2002.;2002-10-15;1 juv;1;Dysderidae;Stalagtia;sp. 4;Stalagtia sp. 4;;4 325 927;17 147 834;Tb;deep cave;432 592 717 147 834;3;;10,8;10,8
2047;Svetica;Croatia;22.5.2004.;2004-05-22;1f, 1 juv;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;300;43 401 143;16 894 548;Tf;deep cave;4 340 114 316 894 540;5;;;
2048;Plošnica;Croatia;22.5.2004.;2004-05-22;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;605;43 385 758;1 692 863;Tf;deep cave;433 857 581 692 863;1;;;
2049;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;1m;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;10,1
2049;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;1m;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;11,4
2050;Kukor;Croatia;2.1.1999.;1999-01-02;1f, 1 juv;2;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;425;43 355 609;16 991 707;tb;deep cave;4 335 560 916 991 700;10;;;15,4
2051;?olnja?a;Croatia;25.10.2003.;2003-10-25;1m, 1 juv;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 409 175;1 688 745;Tf;deep cave;434 091 751 688 745;4;;;
2052;Jamina, Biokovo;Croatia;26.10.2003.;2003-10-26;2f;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2053;Jamina, Biokovo;Croatia;28.10.2003.;2003-10-28;2 f;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2054;Jama iznad Prozor?i?a;Croatia;26.10.2006.;2006-10-26;2f;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;4 338 381;16 932 036;Tf;deep cave;433 838 116 932 036;5;;12,5;8,9
2055;Jama iznad Prozor?i?a;Croatia;28.10.2003.;2003-10-28;1f, 3 juv;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;4 338 381;16 932 036;Tf;deep cave;433 838 116 932 036;5;;12,5;8,9
2057;Potkameni?ina jama;Croatia;25.10.2006.;2006-10-25;2 f;2;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;321;43 393 898;17 018 204;Tb;deep cave;4 339 389 817 018 200;1;;;13
2059;Jamina, Biokovo;Croatia;24.3.2004.;2004-03-24;3f, 2 juv;5;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2060;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;2m, 2 f;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;10,1
2060;Jama za Supinom;Croatia;18.11.2005.;2005-11-18;2m, 2 f;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 250 417;17 113 278;Tf;deep cave;4 325 041 717 113 270;7;;;11,4
2061;Pozjata špilja;Croatia;26.10.2003.;2003-10-26;1f, 2 juv;3;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;1435;43 387 837;16 963 748;Tf;deep cave;4 338 783 716 963 740;3;;;7,85
2062;Jamina, Biokovo;Croatia;26.10.2006.;2006-10-26;2f;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2063;?uli?a jama;Croatia;26.10.2003.;2003-10-26;1m, 1 juv;2;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;1029;43 395 082;16 950 762;Tf;deep cave;4 339 508 216 950 760;2;;;
2064;Svetica;Croatia;22.5.2004.;2004-05-22;1m;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;300;43 401 143;16 894 548;Tf;deep cave;4 340 114 316 894 540;5;;;
2065;Jamina, Biokovo;Croatia;26.10.2006.;2006-10-26;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2066;Jamina, Biokovo;Croatia;28.10.2006.;2006-10-28;1m, 6f, 3 prosome;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2067;Crna ledenica;Croatia;24.5.2004.;2004-05-24;1 juv m;1;Nesticidae;Kryptonesticus;deelemanae;Kryptonesticus deelemanae;;43 348 162;17 055 328;tb;deep cave;4 334 816 217 055 320;2;;;0,3
2068;Jama pod Osojem;Croatia;28.10.2003.;2003-10-28;1f, 3 juv;4;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;;43 251 441;17 118 374;Tf;deep cave;4 325 144 117 118 370;3;;7;7
2069;Jamina, Biokovo;Croatia;24.3.2004.;2004-03-24;3f, 5 juv;8;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2070;Jamina, Biokovo;Croatia;24.3.2004.;2004-03-24;1f, 2 juv;3;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
2071;Pozjata špilja;Croatia;26.10.2003.;2003-10-26;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;1435;43 387 837;16 963 748;Tf;deep cave;4 338 783 716 963 740;3;;;7,85
2072;Jamina, Biokovo;Croatia;22.11.2005.;2005-11-22;1f;1;Linyphiidae;Palliduphantes;spelaeorum;Palliduphantes spelaeorum;617;43 386 358;16 925 277;Tf;deep cave;4 338 635 816 925 270;4;;;
